id,start_date,season,season_type,week,neutral_site,home_team,home_conference,home_elo,home_talent,away_team,away_conference,away_talent,away_elo,home_points,away_points,margin,spread,home_adjusted_epa,home_adjusted_epa_allowed,away_adjusted_epa,away_adjusted_epa_allowed,home_adjusted_rushing_epa,home_adjusted_rushing_epa_allowed,away_adjusted_rushing_epa,away_adjusted_rushing_epa_allowed,home_adjusted_passing_epa,home_adjusted_passing_epa_allowed,away_adjusted_passing_epa,away_adjusted_passing_epa_allowed,home_adjusted_success,home_adjusted_success_allowed,away_adjusted_success,away_adjusted_success_allowed,home_adjusted_standard_down_success,home_adjusted_standard_down_success_allowed,away_adjusted_standard_down_success,away_adjusted_standard_down_success_allowed,home_adjusted_passing_down_success,home_adjusted_passing_down_success_allowed,away_adjusted_passing_down_success,away_adjusted_passing_down_success_allowed,home_adjusted_line_yards,home_adjusted_line_yards_allowed,away_adjusted_line_yards,away_adjusted_line_yards_allowed,home_adjusted_second_level_yards,home_adjusted_second_level_yards_allowed,away_adjusted_second_level_yards,away_adjusted_second_level_yards_allowed,home_adjusted_open_field_yards,home_adjusted_open_field_yards_allowed,away_adjusted_open_field_yards,away_adjusted_open_field_yards_allowed,home_adjusted_explosiveness,home_adjusted_explosiveness_allowed,away_adjusted_explosiveness,away_adjusted_explosiveness_allowed,home_adjusted_rush_explosiveness,home_adjusted_rush_explosiveness_allowed,away_adjusted_rush_explosiveness,away_adjusted_rush_explosiveness_allowed,home_adjusted_pass_explosiveness,home_adjusted_pass_explosiveness_allowed,away_adjusted_pass_explosiveness,away_adjusted_pass_explosiveness_allowed,home_total_havoc_offense,home_front_seven_havoc_offense,home_db_havoc_offense,away_total_havoc_offense,away_front_seven_havoc_offense,away_db_havoc_offense,home_total_havoc_defense,home_front_seven_havoc_defense,home_db_havoc_defense,away_total_havoc_defense,away_front_seven_havoc_defense,away_db_havoc_defense,home_points_per_opportunity_offense,away_points_per_opportunity_offense,home_points_per_opportunity_defense,away_points_per_opportunity_defense,home_avg_start_offense,home_avg_start_defense,away_avg_start_offense,away_avg_start_defense,game_id
401756964,2025-11-28 17:00:00,2025,regular,14,False,Kansas,Big 12,1499,705.32,Utah,Big 12,707.86,1971,,,,13.0,0.223096837261821,0.236312708149923,0.3147488459684213,0.0916676002303106,0.1439007096436745,0.1317182830129889,0.2722528667322699,0.1461035625559232,0.3030977975766585,0.3295939973787737,0.318122100814582,0.1001326085047506,0.4735357432155988,0.4293402372694245,0.4881565159790441,0.3801720336158666,0.5136371274513182,0.4765745102985601,0.524129889760996,0.4330199855087211,0.3175705404320973,0.3167581004633087,0.3362418817319057,0.2912906053829597,3.213104425697061,2.9387294539581563,3.378786564087775,2.869308355739011,1.2147617364446486,1.1000697753114974,1.3187527848211107,1.100303136395483,1.2496779941484444,1.4961419031154335,1.6672885963532555,1.6059786672312542,1.224941438661035,1.3028614641530598,1.2558735666146423,1.3169053912063438,0.9483691005727498,1.0023822078857405,1.0403007406234384,1.0554729604739213,1.5368257008779356,1.5784243322785263,1.5228003401613923,1.5724828706393046,0.1555555555555555,0.0984126984126984,0.0571428571428571,0.1251682368775235,0.0740242261103634,0.0511440107671601,0.1757925072046109,0.1095100864553314,0.0662824207492795,0.1666666666666666,0.0971014492753623,0.0695652173913043,4.1454545454545455,5.03030303030303,4.392857142857143,2.982142857142857,70.7,73.8,71.8,73.3,401756964
401756961,2025-11-29 02:00:00,2025,regular,14,False,Arizona State,Big 12,1653,738.52,Arizona,Big 12,651.62,1651,,,,-1.0,0.15269973118612,0.1056355162555973,0.1639844554822792,0.0982417899384914,0.1273362520405696,0.0716851154316214,0.1365002352571543,0.1223997417651075,0.219498155698404,0.1794721818209468,0.1930937954695985,0.1606451962321898,0.4081715805566473,0.3897017340526527,0.419023336223747,0.3792315930128659,0.4692950715173126,0.4510747202632453,0.4767841909798534,0.4424798357650084,0.2847522102321228,0.2882949552714981,0.290108017803686,0.2788016696807981,2.9987666286927395,2.87932085704989,3.0260804469663105,2.8924897358017927,1.1616866935850203,0.9877563455389304,1.1585252436373594,0.9995790420611989,1.4037092247774603,1.1040616724906114,1.4009375104096928,1.025898975648583,1.2361945316147052,1.245076391624542,1.2808494810416082,1.235028454022501,0.947663766762428,0.950358027744408,1.012776054416208,0.9511438035524252,1.5773505928687424,1.5504950740453207,1.5380687867961451,1.5908592152573002,0.1695594125500667,0.102803738317757,0.0667556742323097,0.1511111111111111,0.0933333333333333,0.0577777777777777,0.1951951951951951,0.1141141141141141,0.081081081081081,0.2002861230329041,0.1158798283261802,0.0844062947067239,3.196969696969697,4.029850746268656,3.4262295081967213,3.5833333333333335,72.0,68.3,66.0,72.4,401756961
401760426,2025-11-28 20:30:00,2025,regular,14,False,New Mexico,Mountain West,1491,378.8,San Diego State,Mountain West,594.27,1530,,,,1.5,0.1729161327948829,0.1373854219540118,0.1049243740807271,0.0496837425556671,0.0866058457928593,0.056670308400125,0.0967629442848432,0.0489389951245028,0.2988738839634963,0.259428633619139,0.1771476564958309,0.1072996574347241,0.4163893459908839,0.3962027826110412,0.4026217456634716,0.392543208116564,0.4598969495852203,0.4483517836844157,0.4855425990838815,0.4520982892715087,0.3137170253614,0.2950367046292783,0.25347387929192,0.2765350197589155,2.9393834719683207,2.633052494302888,3.079733350065996,2.908242115765161,0.968657224804537,0.9318045122194936,1.0448428192562622,0.9303094087543656,1.1262945636840067,1.029537882508142,1.10144493447083,0.9377530289163408,1.2573654739612856,1.2726894221124427,1.2113895176598726,1.1912387743806871,0.9539928202561284,0.9915160256794636,0.925538621671665,0.910130165064418,1.5685081070010418,1.5369183074233403,1.5886628758412726,1.5249521860650157,0.1428571428571428,0.0926216640502354,0.0502354788069073,0.1233766233766233,0.0746753246753246,0.0487012987012987,0.1809815950920245,0.1150306748466257,0.0659509202453987,0.1594634873323397,0.0834575260804769,0.0760059612518628,4.051724137931035,3.418181818181818,3.4545454545454546,2.0681818181818183,70.9,71.6,68.4,74.5,401760426
401752788,2025-11-28 17:00:00,2025,regular,14,False,Mississippi State,SEC,1492,770.48,Ole Miss,SEC,813.11,1959,,,,7.5,0.1497318145527483,0.1536930134322801,0.2885836631991579,0.1403552833949921,0.0957986515066145,0.1315409188915884,0.155614503178723,0.1691135823203345,0.2373725306903382,0.2124383131980625,0.3830035170797436,0.1592663188666542,0.4329898269042841,0.4121039025408441,0.4831463471756167,0.3870718509620084,0.487459526189879,0.4707783540151447,0.5002109900256148,0.4595495290582113,0.2990988743837872,0.3009398538969988,0.3522016522332566,0.2780214696043587,2.8672916906695898,3.179105288272102,2.8944727931928926,3.0773518899602026,1.0963355421177274,1.1389447057051596,1.0799997092126203,1.059175130884061,1.0506119895542534,1.2598141189588676,1.3271561189041083,1.2159877316621948,1.257041360177081,1.2558217747479212,1.2956729257319133,1.2511429622432046,0.9441030658175056,0.9533068742290932,0.974705730922168,0.9948899792845868,1.6004264784513005,1.5834933344827369,1.6081583255239458,1.540712769940796,0.1970310391363023,0.1255060728744939,0.0715249662618083,0.1513513513513513,0.0891891891891892,0.0621621621621621,0.1436619718309859,0.0788732394366197,0.0647887323943662,0.1521739130434782,0.0854037267080745,0.0667701863354037,4.37037037037037,4.602739726027397,3.672131147540984,3.392156862745098,70.3,72.4,71.9,71.7,401752788
401762519,2025-11-29 17:00:00,2025,regular,14,False,Florida Atlantic,American Athletic,1263,605.22,East Carolina,American Athletic,611.55,1491,,,,6.5,0.1611028295943148,0.2012006333369383,0.163916428219867,0.1204118288978944,0.0612665351262166,0.1632395151572235,0.1032883257925326,0.0560657188230366,0.2777990984804717,0.2492326571333607,0.2706067158871267,0.2239974123883094,0.3850866813713761,0.4431813344540192,0.4412598422356275,0.3939030535239003,0.4435502256175228,0.5018602274817792,0.4829921448374001,0.4602912051930918,0.2964401204863324,0.2871152390414913,0.3166648244827733,0.2822045384572627,2.7416455345719113,2.9462834260413895,2.9867946181577056,2.6872983399414965,1.0013500344855994,1.083265178608719,0.9247386047698948,1.075975876922167,1.0347889604350644,1.4867341692451828,0.9699730351568854,1.2675037934871385,1.3389065250704912,1.2594024632411265,1.1969191987375862,1.2697273373872966,0.9971724798448168,1.0012166853374005,0.902024281492576,1.0023799405054905,1.5875897720965548,1.5478792667662489,1.5384919583853756,1.5327532611892711,0.1740837696335078,0.0994764397905759,0.0746073298429319,0.1294871794871795,0.0794871794871794,0.05,0.137660485021398,0.0934379457917261,0.0442225392296719,0.1787296898079763,0.1285081240768094,0.0502215657311669,3.462686567164179,3.611940298507463,4.529411764705882,3.4339622641509435,69.8,67.9,70.4,70.8,401762519
401762442,2025-11-28 20:30:00,2025,regular,14,False,North Texas,American Athletic,1741,569.15,Temple,American Athletic,507.91,1234,,,,-19.5,0.3173211941514423,0.1937160044639667,0.1339875208871656,0.2355553068158968,0.2133054847432661,0.1554094989864431,0.0408982527592133,0.1746219855544304,0.4002531333198684,0.2347236755998458,0.2704805542315179,0.303999076848535,0.4979435576557606,0.4437500395205312,0.3978219368929658,0.4459503823166539,0.544881142124295,0.4891991556937352,0.4591964783625313,0.4999869723680717,0.3244331728997042,0.303180377117531,0.2898720409608242,0.2997346515991763,3.245397857229249,3.1620449579848153,2.5994315079416315,3.1404157283402623,1.216310914944935,1.1207758778456574,0.8964120540700338,1.1289361655266874,1.326710150144137,1.3024808616688344,1.184865093228913,1.2564350324578482,1.2827494779226187,1.2531843862966467,1.2232000856407412,1.2659634460612357,1.020068582438529,0.9870776783823216,0.9383794126489746,0.988532251345972,1.5422988403107598,1.5796229513962632,1.516820256276025,1.5864482762315817,0.097457627118644,0.0607344632768361,0.0367231638418079,0.1582608695652174,0.1043478260869565,0.0539130434782608,0.1447902571041948,0.1001353179972936,0.0446549391069012,0.1458003169572107,0.0887480190174326,0.0570522979397781,5.025974025974026,4.413043478260869,4.0,4.509433962264151,65.1,72.1,72.0,74.3,401762442
401752790,2025-11-29 17:00:00,2025,regular,14,False,South Carolina,SEC,1730,833.26,Clemson,SEC,918.43,1725,,,,-2.0,0.1441346141914369,0.07765180381868,0.1806719038846536,0.1406699234739886,0.1122330258484615,0.0074518765060276,0.0965291103790648,0.089559220472655,0.2339351765944179,0.220508587040826,0.2641946090884434,0.2160713652512925,0.4185037630815669,0.3950162530364375,0.4333980274563788,0.384848500200506,0.4723531518137735,0.4540611578511682,0.479364674286755,0.4347866543839424,0.2862845321290607,0.3002046750187723,0.3004959093377646,0.3052806366323357,2.9197493864400856,2.634762102392877,2.963487569509829,2.8352324631584533,1.0966482092887848,0.9277037651440794,1.018223840675011,1.093644104081761,1.1503144554376508,1.1896452753090094,0.9237847164239614,1.1158202699764257,1.280229120333497,1.2128417363928727,1.2285305276634166,1.2873741671023358,1.016202731136875,0.9348345667107312,0.9353104381133296,0.9780556938210432,1.5530165638853486,1.5059540432771192,1.5280296592157598,1.568086461404944,0.1899529042386185,0.1381475667189952,0.0518053375196232,0.1470588235294117,0.0897058823529411,0.0573529411764705,0.1616766467065868,0.1002994011976047,0.061377245508982,0.1830559757942511,0.1089258698940998,0.0741301059001512,2.843137254901961,4.0,3.363636363636364,3.068965517241379,72.7,70.3,69.5,72.5,401752790
401752921,2025-11-29 17:00:00,2025,regular,14,False,Michigan,Big Ten,1825,907.22,Ohio State,Big Ten,973.69,2158,,,,9.5,0.2395009839176193,0.0887668765777042,0.2940974633688028,0.0292186314421179,0.2082869979511872,0.05376780691873,0.1165711583467923,0.0370495326062893,0.2792854540006398,0.1842976962772524,0.4587083815690468,0.1125414367837334,0.4792317061052229,0.399058790317038,0.5128610457086361,0.3597536749825201,0.5255580477130798,0.4519633874588975,0.5499720026126383,0.4402317836554068,0.3152291766189498,0.2961894197578474,0.3307356153514142,0.2647305996387661,3.241093808374892,2.7269447658061456,2.9751631488622765,2.733740486260374,1.156952472269272,0.8629774670604712,1.0854441160514836,0.9124367736446124,1.5377632869254902,1.031675204969497,1.1446839847300363,0.9123199676099734,1.1998943601218817,1.173550224668242,1.2000308197734717,1.1666937501820227,0.967305118505636,0.9159675867922624,0.9104747263415744,0.9411666948509412,1.520253811069664,1.454581097651826,1.50141040610433,1.4434271861869927,0.1138545953360768,0.074074074074074,0.0397805212620027,0.1063492063492063,0.0666666666666666,0.0396825396825396,0.1761442441054091,0.1040221914008321,0.0721220527045769,0.1684782608695652,0.1141304347826086,0.0543478260869565,3.6973684210526314,5.083333333333333,3.636363636363636,2.5806451612903225,69.1,72.6,70.0,74.0,401752921
401756968,2025-11-29 17:00:00,2025,regular,14,False,West Virginia,Big 12,1355,662.33,Texas Tech,Big 12,757.49,1997,,,,21.0,0.1043686856032373,0.1557568828485568,0.2167213814393988,0.0065758093900173,0.040033959138774,0.0567046195449353,0.1194149722761295,-0.0061427094685616,0.2031159314346751,0.2873170293749195,0.3298960060569186,0.1101452031503615,0.3839568924255467,0.4070727412549128,0.4357074472204594,0.33466117340952,0.4317270769640595,0.4439462010427667,0.482894642595132,0.3944379719165566,0.2820256528832209,0.3188512222760606,0.3172173399927497,0.2723902107173305,2.751072007063106,2.5810190109765,2.7961931590602815,2.5459790948757743,0.9093276186116146,0.9783075288510172,1.056811857053414,0.9082712711317916,0.9723801920277432,1.1969110868269417,1.309639250734414,1.015642395144835,1.241299254276519,1.3013747367432789,1.2664492314336984,1.224235776235093,0.943641811491262,0.9625684453443728,0.9781396055787946,0.9238724598043642,1.595667900909601,1.6055487386834524,1.561819503410308,1.5198707751211449,0.1655076495132127,0.1043115438108484,0.0611961057023643,0.1483957219251337,0.0842245989304812,0.0641711229946524,0.1736111111111111,0.1111111111111111,0.0625,0.2314540059347181,0.14540059347181,0.086053412462908,3.611111111111111,3.8875,3.7222222222222223,2.5609756097560976,71.4,69.4,63.6,73.6,401756968
401762872,2025-11-29 17:00:00,2025,regular,14,False,Central Michigan,Mid-American,1291,481.16,Toledo,Mid-American,620.13,1642,,,,10.5,0.1404455553655761,0.1546141874906545,0.1819512404839234,0.030764434225839,0.0740115856616675,0.1056516560084793,0.0978729929759341,0.0678953614603773,0.3367565483819097,0.215495697875574,0.3167075889224929,0.0801739153952494,0.3798411093409901,0.4468702923028307,0.4162015927712609,0.3843785644547129,0.4522838347982451,0.4887641036860452,0.4718289707128839,0.4394534734811235,0.2823354472970774,0.296940510816119,0.3073694754959113,0.2639201903924426,2.795685389649991,2.987874744150509,2.9594003329361227,2.7242214841041297,0.9446108372998728,1.1623577177369386,1.0882018538203375,0.8581716911249011,1.1673768137945468,1.324291406471699,1.1922331465241849,0.9200618117057734,1.2398824379975737,1.2235810028191867,1.2493726201368156,1.2241053826011197,0.9675308543017758,0.9518309990514192,0.9315998117279845,0.9200011809208676,1.5891233201414896,1.5185130430159473,1.5700556351226158,1.5905679546194846,0.142156862745098,0.1078431372549019,0.034313725490196,0.1163141993957704,0.0770392749244713,0.039274924471299,0.1581259150805271,0.0922401171303074,0.0658857979502196,0.1876923076923076,0.1153846153846153,0.0723076923076923,3.821428571428571,3.7868852459016393,3.2241379310344827,2.5217391304347827,69.9,71.5,69.0,72.4,401762872
