home_team,away_team,spread,home_elo,away_elo,home_adjusted_epa,away_adjusted_epa,home_points_per_opportunity_offense,away_points_per_opportunity_offense,ensemble_pred,line_value,confidence,value_rating,suggested_side
Tulane,Charlotte,-30.0,1575,1035,0.1981683585472691,0.0023610043428397,3.957142857142857,2.621621621621621,8.786797391934254,38.78679739193426,91.96699347983564,Strong Value,Tulane
Stanford,Notre Dame,32.5,1315,2263,0.0935988144677685,0.2745317227300592,2.9272727272727272,4.712328767123288,-5.281051304323408,-37.781051304323405,83.20262826080852,Strong Value,Notre Dame
South Florida,Rice,-27.5,1751,1144,0.2602213707915747,0.0338538255327868,4.582089552238806,3.4871794871794872,9.743172261663622,37.243172261663624,94.35793065415905,Strong Value,South Florida
Purdue,Indiana,28.5,1276,2142,0.127750367367353,0.2947774122431914,3.0,4.783783783783784,-3.9817152660018795,-32.48171526600188,79.9542881650047,Strong Value,Indiana
Old Dominion,Georgia State,-26.5,1635,1104,0.1926259465767723,0.1036237377604106,3.857142857142857,3.163265306122449,5.916934209522584,32.41693420952258,84.79233552380646,Strong Value,Old Dominion
USC,UCLA,-21.0,1898,1313,0.3310113964135827,0.149912036540566,4.756756756756757,3.0689655172413794,8.492308334711275,29.492308334711275,91.23077083677819,Strong Value,USC
North Texas,Temple,-19.5,1741,1234,0.3173211941514423,0.1339875208871656,5.025974025974026,4.413043478260869,8.281057234859691,27.78105723485969,90.70264308714923,Strong Value,North Texas
Miami (OH),Ball State,-17.5,1451,1018,0.0951451856656905,0.011972436974032,3.543859649122807,2.196078431372549,6.221171749404635,23.721171749404636,85.55292937351159,Strong Value,Miami (OH)
West Virginia,Texas Tech,21.0,1355,1997,0.1043686856032373,0.2167213814393988,3.611111111111111,3.8875,-2.422032783813398,-23.4220327838134,76.0550819595335,Strong Value,Texas Tech
Coastal Carolina,James Madison,22.0,1228,1874,0.1050648467114285,0.1824469006420007,3.962264150943396,3.73972602739726,-1.050878816495291,-23.050878816495292,72.62719704123822,Strong Value,James Madison
BYU,UCF,-17.0,1781,1464,0.2113428971152671,0.1122088175729417,3.8484848484848486,3.0384615384615383,5.551099729941608,22.55109972994161,83.87774932485402,Strong Value,BYU
Kansas State,Colorado,-17.0,1680,1338,0.2053686048424333,0.1216594302017899,3.909090909090909,3.607142857142857,5.315587386185317,22.315587386185317,83.28896846546328,Strong Value,Kansas State
Washington State,Oregon State,-13.5,1508,1175,0.1504684082918452,0.0906838223766222,3.96,2.864406779661017,4.582270845787322,18.08227084578732,81.4556771144683,Strong Value,Washington State
Oklahoma State,Iowa State,14.0,1084,1655,0.0280973830861806,0.1724542664818715,2.6511627906976742,3.3142857142857145,-2.4319931939704817,-16.43199319397048,76.0799829849262,Strong Value,Iowa State
California,SMU,13.0,1351,1860,0.0749957953299878,0.2346172855725524,3.693877551020408,3.71875,-2.601460631468272,-15.601460631468271,76.50365157867068,Strong Value,SMU
Louisiana,UL Monroe,-10.5,1354,1013,0.1184573890947406,0.0750330138442779,3.543859649122807,3.022222222222222,5.054343918603294,15.554343918603294,82.63585979650824,Strong Value,Louisiana
Massachusetts,Bowling Green,14.5,748,1230,-0.0252182691680742,0.0195093584226885,2.026315789473684,2.8823529411764706,-0.33438131360603673,-14.834381313606038,70.83595328401509,Strong Value,Bowling Green
Texas State,South Alabama,-9.0,1533,1375,0.2607359065433706,0.1376413669208342,4.475409836065574,3.983050847457627,5.725178665226762,14.725178665226762,84.31294666306691,Strong Value,Texas State
Hawai'i,Wyoming,-10.0,1421,1333,0.128785000331181,0.0399765495295326,3.564516129032258,2.953488372093023,4.5648359595768335,14.564835959576833,81.41208989894209,Strong Value,Hawai'i
Georgia Tech,Georgia,13.5,1573,2048,0.239626027480689,0.2651008572347287,4.196969696969697,4.890625,-0.5546881235136616,-14.054688123513662,71.38672030878416,Strong Value,Georgia
Kansas,Utah,13.0,1499,1971,0.223096837261821,0.3147488459684213,4.1454545454545455,5.03030303030303,-0.9924949055612169,-13.992494905561216,72.48123726390304,Strong Value,Utah
Oklahoma,LSU,-10.0,1824,1690,0.1310479385644158,0.0796009443659303,3.736842105263158,2.7540983606557377,3.9285297062452207,13.928529706245222,79.82132426561304,Strong Value,Oklahoma
Virginia,Virginia Tech,-10.5,1604,1409,0.1638603948972475,0.1896675607397117,3.5454545454545454,3.647058823529412,2.5433022747765577,13.043302274776558,76.35825568694139,Strong Value,Virginia
Rutgers,Penn State,12.0,1445,1975,0.1993250511161892,0.2382606097021935,3.2,4.410714285714286,-0.9486324425756703,-12.94863244257567,72.37158110643918,Strong Value,Penn State
UTSA,Army,-7.0,1585,1504,0.1794811289875066,0.1471392669219229,3.9636363636363634,3.489795918367347,5.4342396407341464,12.434239640734146,83.58559910183537,Strong Value,UTSA
NC State,North Carolina,-7.0,1481,1364,0.2167257473217964,0.0886497171554176,4.306122448979592,3.090909090909091,5.258507618590873,12.258507618590873,83.14626904647719,Strong Value,NC State
Tulsa,UAB,-9.5,1119,1175,0.0849433793727991,0.1235758646957518,3.274193548387097,3.3035714285714284,1.7140206467820813,11.214020646782082,74.2850516169552,Strong Value,Tulsa
Southern Miss,Troy,-7.0,1297,1362,0.1389871847914241,0.0651042769251118,3.901639344262295,3.5510204081632653,3.791390271654029,10.791390271654029,79.47847567913507,Strong Value,Southern Miss
Central Michigan,Toledo,10.5,1291,1642,0.1404455553655761,0.1819512404839234,3.821428571428572,3.7868852459016393,-0.12128353456958063,-10.621283534569582,70.30320883642395,Strong Value,Toledo
