team,season,system,rating,hfa,solver_version,source,model_version
Alabama,2025,massey,51.115587754172864,2.747497475712196,1.0.0,,
Ohio State,2025,massey,50.965700580444064,2.747497475712196,1.0.0,,
Georgia,2025,massey,48.3137756196476,2.747497475712196,1.0.0,,
Michigan,2025,massey,45.25523986137796,2.747497475712196,1.0.0,,
Penn State,2025,massey,42.8252234675236,2.747497475712196,1.0.0,,
Clemson,2025,massey,42.820204865776205,2.747497475712196,1.0.0,,
Notre Dame,2025,massey,42.52740470351451,2.747497475712196,1.0.0,,
LSU,2025,massey,41.953343828936646,2.747497475712196,1.0.0,,
Oklahoma,2025,massey,39.49591802019968,2.747497475712196,1.0.0,,
Oregon,2025,massey,37.69382245190904,2.747497475712196,1.0.0,,
Texas,2025,massey,37.68169016586405,2.747497475712196,1.0.0,,
Texas A&M,2025,massey,36.86458136158433,2.747497475712196,1.0.0,,
Utah,2025,massey,36.83142699440164,2.747497475712196,1.0.0,,
Auburn,2025,massey,36.729227035116224,2.747497475712196,1.0.0,,
Washington,2025,massey,36.22722670416856,2.747497475712196,1.0.0,,
Tennessee,2025,massey,35.84316861617219,2.747497475712196,1.0.0,,
Iowa,2025,massey,35.12648787423594,2.747497475712196,1.0.0,,
Wisconsin,2025,massey,34.89190380397145,2.747497475712196,1.0.0,,
Kansas State,2025,massey,34.61694585144468,2.747497475712196,1.0.0,,
Florida,2025,massey,33.97537511907667,2.747497475712196,1.0.0,,
Ole Miss,2025,massey,33.54089980893847,2.747497475712196,1.0.0,,
USC,2025,massey,33.319083005339316,2.747497475712196,1.0.0,,
Iowa State,2025,massey,33.22536140757125,2.747497475712196,1.0.0,,
Missouri,2025,massey,33.040464697214375,2.747497475712196,1.0.0,,
Kentucky,2025,massey,31.036403639429054,2.747497475712196,1.0.0,,
Boise State,2025,massey,30.879016794075678,2.747497475712196,1.0.0,,
TCU,2025,massey,30.698458554688557,2.747497475712196,1.0.0,,
Florida State,2025,massey,30.590583080020792,2.747497475712196,1.0.0,,
Texas Tech,2025,massey,30.53232610274576,2.747497475712196,1.0.0,,
Minnesota,2025,massey,30.018324985429132,2.747497475712196,1.0.0,,
Mississippi State,2025,massey,29.995140126880678,2.747497475712196,1.0.0,,
Miami,2025,massey,29.911232337585737,2.747497475712196,1.0.0,,
South Carolina,2025,massey,29.70704775621002,2.747497475712196,1.0.0,,
Indiana,2025,massey,29.61902307968395,2.747497475712196,1.0.0,,
Louisville,2025,massey,29.255257485717138,2.747497475712196,1.0.0,,
Oklahoma State,2025,massey,29.07657217776487,2.747497475712196,1.0.0,,
Memphis,2025,massey,28.815048526064256,2.747497475712196,1.0.0,,
Baylor,2025,massey,28.712765699095787,2.747497475712196,1.0.0,,
James Madison,2025,massey,28.449249055185827,2.747497475712196,1.0.0,,
Pittsburgh,2025,massey,28.290327660881324,2.747497475712196,1.0.0,,
UCF,2025,massey,28.13747913906384,2.747497475712196,1.0.0,,
Washington State,2025,massey,27.90550925655093,2.747497475712196,1.0.0,,
SMU,2025,massey,27.83776171759654,2.747497475712196,1.0.0,,
North Dakota State,2025,massey,27.468918973069208,2.747497475712196,1.0.0,,
Nebraska,2025,massey,27.393010622350364,2.747497475712196,1.0.0,,
West Virginia,2025,massey,26.986533725897562,2.747497475712196,1.0.0,,
Virginia Tech,2025,massey,26.61374033578832,2.747497475712196,1.0.0,,
Northwestern,2025,massey,26.412691427871614,2.747497475712196,1.0.0,,
BYU,2025,massey,26.21534836182379,2.747497475712196,1.0.0,,
NC State,2025,massey,26.131729803435814,2.747497475712196,1.0.0,,
Arizona State,2025,massey,25.577228682236125,2.747497475712196,1.0.0,,
Michigan State,2025,massey,25.405603140218464,2.747497475712196,1.0.0,,
Cincinnati,2025,massey,25.11345531257353,2.747497475712196,1.0.0,,
Arkansas,2025,massey,24.846114177648218,2.747497475712196,1.0.0,,
UCLA,2025,massey,24.800148180476924,2.747497475712196,1.0.0,,
Houston,2025,massey,24.67676437517708,2.747497475712196,1.0.0,,
Georgia Tech,2025,massey,24.293806575581847,2.747497475712196,1.0.0,,
Vanderbilt,2025,massey,24.285144019454382,2.747497475712196,1.0.0,,
Tarleton State,2025,massey,23.96629586709286,2.747497475712196,1.0.0,,
Wake Forest,2025,massey,23.908145572304434,2.747497475712196,1.0.0,,
Air Force,2025,massey,23.79966135115583,2.747497475712196,1.0.0,,
North Carolina,2025,massey,23.77326632590904,2.747497475712196,1.0.0,,
Navy,2025,massey,23.730747693295253,2.747497475712196,1.0.0,,
Tulane,2025,massey,23.71436544745192,2.747497475712196,1.0.0,,
App State,2025,massey,23.42982357913862,2.747497475712196,1.0.0,,
Purdue,2025,massey,23.37561491161038,2.747497475712196,1.0.0,,
Illinois,2025,massey,23.30740777983249,2.747497475712196,1.0.0,,
Fresno State,2025,massey,23.258680246620383,2.747497475712196,1.0.0,,
Jacksonville State,2025,massey,23.09957874381215,2.747497475712196,1.0.0,,
San Diego State,2025,massey,22.835121361645328,2.747497475712196,1.0.0,,
Montana State,2025,massey,22.781727740940333,2.747497475712196,1.0.0,,
Arizona,2025,massey,22.571823504794263,2.747497475712196,1.0.0,,
California,2025,massey,22.438596136892215,2.747497475712196,1.0.0,,
Virginia,2025,massey,22.335353584340496,2.747497475712196,1.0.0,,
Army,2025,massey,21.356679905904866,2.747497475712196,1.0.0,,
Western Kentucky,2025,massey,21.278188039823554,2.747497475712196,1.0.0,,
Ohio,2025,massey,21.050006622104057,2.747497475712196,1.0.0,,
Colorado,2025,massey,20.992902526607914,2.747497475712196,1.0.0,,
Boston College,2025,massey,20.862646323295095,2.747497475712196,1.0.0,,
Wyoming,2025,massey,20.837161813130916,2.747497475712196,1.0.0,,
South Florida,2025,massey,20.4605138721429,2.747497475712196,1.0.0,,
Syracuse,2025,massey,20.42144976535046,2.747497475712196,1.0.0,,
Maryland,2025,massey,20.395722359114068,2.747497475712196,1.0.0,,
Utah State,2025,massey,20.37998262746112,2.747497475712196,1.0.0,,
Duke,2025,massey,20.182020739199668,2.747497475712196,1.0.0,,
Oregon State,2025,massey,19.8323905106032,2.747497475712196,1.0.0,,
Stanford,2025,massey,19.57391461724994,2.747497475712196,1.0.0,,
Troy,2025,massey,19.020392342357137,2.747497475712196,1.0.0,,
Kansas,2025,massey,19.01970286207691,2.747497475712196,1.0.0,,
Toledo,2025,massey,18.25019613640492,2.747497475712196,1.0.0,,
UTSA,2025,massey,18.24849991548633,2.747497475712196,1.0.0,,
Louisiana,2025,massey,18.1380424897676,2.747497475712196,1.0.0,,
North Texas,2025,massey,18.102678463228976,2.747497475712196,1.0.0,,
Florida Atlantic,2025,massey,17.76311035013232,2.747497475712196,1.0.0,,
North Dakota,2025,massey,17.458732243547395,2.747497475712196,1.0.0,,
Liberty,2025,massey,17.4296302223074,2.747497475712196,1.0.0,,
Marshall,2025,massey,17.250137936781503,2.747497475712196,1.0.0,,
East Carolina,2025,massey,16.96924923372284,2.747497475712196,1.0.0,,
Colorado State,2025,massey,16.88735964908716,2.747497475712196,1.0.0,,
Miami (OH),2025,massey,16.687663026902534,2.747497475712196,1.0.0,,
Temple,2025,massey,16.31867369359434,2.747497475712196,1.0.0,,
UNLV,2025,massey,16.246942841281218,2.747497475712196,1.0.0,,
Louisiana Tech,2025,massey,16.144005421903323,2.747497475712196,1.0.0,,
Western Michigan,2025,massey,15.854544302291995,2.747497475712196,1.0.0,,
UAB,2025,massey,15.558890492308787,2.747497475712196,1.0.0,,
Tulsa,2025,massey,15.171669486080752,2.747497475712196,1.0.0,,
Montana,2025,massey,14.809926219374747,2.747497475712196,1.0.0,,
Harvard,2025,massey,14.624478672923034,2.747497475712196,1.0.0,,
Rutgers,2025,massey,14.419717033138374,2.747497475712196,1.0.0,,
Nevada,2025,massey,14.400180275211707,2.747497475712196,1.0.0,,
Northern Illinois,2025,massey,14.251224931332638,2.747497475712196,1.0.0,,
Middle Tennessee,2025,massey,13.933641487314597,2.747497475712196,1.0.0,,
San José State,2025,massey,13.866440086767586,2.747497475712196,1.0.0,,
Arkansas State,2025,massey,13.768514085473385,2.747497475712196,1.0.0,,
Hawai'i,2025,massey,13.266758297692258,2.747497475712196,1.0.0,,
Missouri State,2025,massey,13.130516347451678,2.747497475712196,1.0.0,,
Georgia Southern,2025,massey,12.973552870049456,2.747497475712196,1.0.0,,
Old Dominion,2025,massey,12.919353233329465,2.747497475712196,1.0.0,,
Mercer,2025,massey,12.406649961875232,2.747497475712196,1.0.0,,
South Alabama,2025,massey,11.943045043090068,2.747497475712196,1.0.0,,
Buffalo,2025,massey,11.30788325271048,2.747497475712196,1.0.0,,
Southern Miss,2025,massey,10.965435401991305,2.747497475712196,1.0.0,,
Central Michigan,2025,massey,10.897185837050575,2.747497475712196,1.0.0,,
Georgia State,2025,massey,10.494531349066868,2.747497475712196,1.0.0,,
New Mexico,2025,massey,10.482143529587546,2.747497475712196,1.0.0,,
Eastern Michigan,2025,massey,10.1781776753015,2.747497475712196,1.0.0,,
Lehigh,2025,massey,10.170632442878778,2.747497475712196,1.0.0,,
Delaware,2025,massey,10.061083427302878,2.747497475712196,1.0.0,,
Coastal Carolina,2025,massey,10.012394155952675,2.747497475712196,1.0.0,,
Tennessee Tech,2025,massey,9.598435487549965,2.747497475712196,1.0.0,,
Stephen F. Austin,2025,massey,9.362238934841448,2.747497475712196,1.0.0,,
Kennesaw State,2025,massey,9.349170134069531,2.747497475712196,1.0.0,,
New Mexico State,2025,massey,9.073064612279698,2.747497475712196,1.0.0,,
SE Louisiana,2025,massey,9.011452745410418,2.747497475712196,1.0.0,,
UConn,2025,massey,8.770867393039559,2.747497475712196,1.0.0,,
