rank,team,rating,record,strength_of_schedule,offensive_rating,defensive_rating,games_played
1,Pittsburgh,25.0,46-33,0.5,86.4430055884014,67.6647906579118,79
2,Northern Illinois,25.0,43-36,0.5,80.65504998158075,57.637635683253755,79
3,USC,25.0,49-33,0.5,99.8258547310187,65.99162335566184,82
4,Purdue,25.0,29-48,0.5,84.58127755255148,61.42393258436414,77
5,Texas,25.0,50-33,0.5,87.87628048357088,68.04770430310674,83
6,New Mexico State,25.0,25-39,0.5,79.13533455894391,64.3927833841792,64
7,Syracuse,25.0,29-45,0.5,79.48748367018696,58.77668867494741,74
8,Duke,25.0,31-46,0.5,89.83513627665498,58.429037035096215,77
9,Army,25.0,40-28,0.5,86.03544501914422,61.51264121505246,68
10,Maryland,25.0,24-53,0.5,80.68383512714531,66.5755661089644,77
11,Northwestern,25.0,35-43,0.5,86.80560616298239,62.9459014981029,78
12,Georgia State,25.0,29-44,0.5,82.7717803320308,55.353447835524825,73
13,Sam Houston,25.0,11-15,0.5,76.36012143275983,58.76262373054529,26
14,TCU,25.0,43-38,0.5,87.87774897102176,67.14700362936918,81
15,UAB,25.0,36-37,0.5,84.26818985218138,55.871659014093225,73
16,Ohio State,25.0,73-11,0.5,97.05730975266022,72.80860264184116,84
17,Arkansas State,25.0,43-37,0.5,77.8402557428752,61.36279353007335,80
18,Colorado State,25.0,28-43,0.5,84.56220468064647,58.05160869773009,71
19,Iowa,25.0,44-31,0.5,84.45310439817976,71.48342611716346,75
20,North Carolina,25.0,28-47,0.5,81.64872878665632,60.936432323778746,75
21,Eastern Michigan,25.0,35-46,0.5,88.50733886909212,56.13408160140589,81
22,Middle Tennessee,25.0,37-45,0.5,85.61356845865603,56.67660774461591,82
23,Louisville,25.0,42-37,0.5,85.84693666643972,67.01312884798348,79
24,Kennesaw State,25.0,9-8,0.5,87.48160043378236,60.8148945284417,17
25,Missouri State,25.0,7-3,0.5,85.83785340255986,57.87475430192244,10
