id,start_date,season,season_type,week,neutral_site,home_team,home_conference,home_elo,home_talent,away_team,away_conference,away_talent,away_elo,spread,home_adjusted_epa,home_adjusted_epa_allowed,away_adjusted_epa,away_adjusted_epa_allowed,home_adjusted_rushing_epa,home_adjusted_rushing_epa_allowed,away_adjusted_rushing_epa,away_adjusted_rushing_epa_allowed,home_adjusted_passing_epa,home_adjusted_passing_epa_allowed,away_adjusted_passing_epa,away_adjusted_passing_epa_allowed,home_adjusted_success,home_adjusted_success_allowed,away_adjusted_success,away_adjusted_success_allowed,home_adjusted_standard_down_success,home_adjusted_standard_down_success_allowed,away_adjusted_standard_down_success,away_adjusted_standard_down_success_allowed,home_adjusted_passing_down_success,home_adjusted_passing_down_success_allowed,away_adjusted_passing_down_success,away_adjusted_passing_down_success_allowed,home_adjusted_line_yards,home_adjusted_line_yards_allowed,away_adjusted_line_yards,away_adjusted_line_yards_allowed,home_adjusted_second_level_yards,home_adjusted_second_level_yards_allowed,away_adjusted_second_level_yards,away_adjusted_second_level_yards_allowed,home_adjusted_open_field_yards,home_adjusted_open_field_yards_allowed,away_adjusted_open_field_yards,away_adjusted_open_field_yards_allowed,home_adjusted_explosiveness,home_adjusted_explosiveness_allowed,away_adjusted_explosiveness,away_adjusted_explosiveness_allowed,home_adjusted_rush_explosiveness,home_adjusted_rush_explosiveness_allowed,away_adjusted_rush_explosiveness,away_adjusted_rush_explosiveness_allowed,home_adjusted_pass_explosiveness,home_adjusted_pass_explosiveness_allowed,away_adjusted_pass_explosiveness,away_adjusted_pass_explosiveness_allowed,home_total_havoc_offense,home_front_seven_havoc_offense,home_db_havoc_offense,away_total_havoc_offense,away_front_seven_havoc_offense,away_db_havoc_offense,home_total_havoc_defense,home_front_seven_havoc_defense,home_db_havoc_defense,away_total_havoc_defense,away_front_seven_havoc_defense,away_db_havoc_defense,home_points_per_opportunity_offense,away_points_per_opportunity_offense,home_points_per_opportunity_defense,away_points_per_opportunity_defense,home_avg_start_offense,home_avg_start_defense,away_avg_start_offense,away_avg_start_defense
401752788,2025-11-28 17:00:00,2025,regular,14,False,Mississippi State,SEC,1492,770.48,Ole Miss,SEC,813.11,1959,7.0,0.14973181455274825,0.15369301343228048,0.28858366319915796,0.14035528339499248,0.09579865150661444,0.13154091889158834,0.1556145031787231,0.16911358232033447,0.23737253069033828,0.21243831319806222,0.383003517079744,0.15926631886665393,0.4329898269042842,0.4121039025408441,0.4831463471756173,0.3870718509620087,0.4874595261898788,0.4707783540151448,0.5002109900256145,0.4595495290582106,0.2990988743837873,0.30093985389699907,0.35220165223325617,0.27802146960435903,2.867291690669589,3.1791052882721034,2.894472793192892,3.0773518899602004,1.0963355421177277,1.13894470570516,1.0799997092126223,1.0591751308840605,1.050611989554254,1.2598141189588672,1.3271561189041097,1.2159877316621948,1.2570413601770805,1.255821774747921,1.295672925731913,1.2511429622432044,0.9441030658175058,0.9533068742290934,0.9747057309221681,0.9948899792845868,1.6004264784513,1.5834933344827367,1.6081583255239456,1.5407127699407959,0.1970310391363023,0.12550607287449392,0.07152496626180836,0.15135135135135136,0.0891891891891892,0.062162162162162166,0.14366197183098592,0.07887323943661972,0.0647887323943662,0.15217391304347827,0.08540372670807453,0.06677018633540373,4.37037037037037,4.602739726027397,3.6721311475409837,3.392156862745098,70.3,72.4,71.9,71.7
401756964,2025-11-28 17:00:00,2025,regular,14,False,Kansas,Big 12,1499,705.32,Utah,Big 12,707.86,1971,12.0,0.2230968372618212,0.23631270814992303,0.314748845968421,0.09166760023031062,0.14390070964367455,0.1317182830129889,0.27225286673226934,0.146103562555923,0.30309779757665867,0.3295939973787737,0.3181221008145822,0.10013260850475059,0.47353574321559894,0.42934023726942416,0.48815651597904464,0.3801720336158664,0.513637127451318,0.4765745102985625,0.5241298897609955,0.43301998550872145,0.3175705404320974,0.3167581004633088,0.3362418817319057,0.2912906053829595,3.2131044256970607,2.9387294539581577,3.378786564087773,2.869308355739012,1.2147617364446475,1.100069775311498,1.3187527848211116,1.1003031363954858,1.2496779941484446,1.496141903115431,1.6672885963532567,1.6059786672312564,1.2249414386610349,1.3028614641530596,1.2558735666146421,1.3169053912063438,0.9483691005727499,1.0023822078857407,1.0403007406234384,1.0554729604739215,1.5368257008779354,1.578424332278526,1.522800340161392,1.5724828706393044,0.15555555555555556,0.09841269841269841,0.05714285714285714,0.12516823687752354,0.0740242261103634,0.05114401076716016,0.17579250720461095,0.10951008645533142,0.06628242074927954,0.16666666666666666,0.09710144927536232,0.06956521739130435,4.1454545454545455,5.03030303030303,4.392857142857143,2.982142857142857,70.7,73.8,71.8,73.3
401756961,2025-11-29 02:00:00,2025,regular,14,False,Arizona State,Big 12,1653,738.52,Arizona,Big 12,651.62,1651,2.0,0.15269973118612037,0.1056355162555976,0.1639844554822791,0.09824178993849111,0.12733625204056973,0.07168511543162179,0.1365002352571544,0.12239974176510758,0.219498155698404,0.17947218182094682,0.19309379546959848,0.1606451962321897,0.4081715805566474,0.3897017340526524,0.4190233362237472,0.3792315930128648,0.46929507151731215,0.4510747202632454,0.47678419097985325,0.4424798357650084,0.2847522102321228,0.2882949552714981,0.29010801780368617,0.278801669680798,2.9987666286927386,2.879320857049891,3.02608044696631,2.892489735801794,1.1616866935850199,0.987756345538931,1.1585252436373592,0.9995790420611992,1.4037092247774632,1.1040616724906123,1.400937510409693,1.0258989756485843,1.236194531614705,1.2450763916245418,1.2808494810416082,1.2350284540225005,0.9476637667624283,0.9503580277444083,1.0127760544162079,0.9511438035524253,1.5773505928687421,1.5504950740453203,1.5380687867961451,1.5908592152572998,0.16955941255006676,0.102803738317757,0.06675567423230974,0.1511111111111111,0.09333333333333334,0.057777777777777775,0.19519519519519518,0.11411411411411411,0.08108108108108109,0.20028612303290416,0.11587982832618025,0.0844062947067239,3.196969696969697,4.029850746268656,3.4262295081967213,3.5833333333333335,72.0,68.3,66.0,72.4
401762519,2025-11-29 17:00:00,2025,regular,14,False,Florida Atlantic,American Athletic,1263,605.22,East Carolina,American Athletic,611.55,1491,7.0,0.1611028295943147,0.20120063333693833,0.16391642821986727,0.12041182889789448,0.061266535126216645,0.16323951515722357,0.10328832579253262,0.05606571882303656,0.2777990984804716,0.24923265713336076,0.2706067158871269,0.22399741238830934,0.38508668137137614,0.44318133445401886,0.44125984223562725,0.3939030535239005,0.44355022561752283,0.501860227481779,0.48299214483740005,0.4602912051930913,0.2964401204863325,0.2871152390414914,0.31666482448277317,0.28220453845726295,2.7416455345719117,2.9462834260413904,2.986794618157705,2.6872983399414965,1.001350034485599,1.083265178608718,0.9247386047698938,1.0759758769221683,1.0347889604350637,1.4867341692451834,0.9699730351568835,1.2675037934871385,1.3389065250704908,1.2594024632411258,1.196919198737586,1.2697273373872964,0.9971724798448168,1.0012166853374005,0.9020242814925761,1.0023799405054905,1.5875897720965546,1.5478792667662484,1.5384919583853753,1.532753261189271,0.17408376963350786,0.09947643979057591,0.07460732984293193,0.1294871794871795,0.07948717948717948,0.05,0.137660485021398,0.09343794579172611,0.0442225392296719,0.17872968980797638,0.12850812407680945,0.050221565731166914,3.462686567164179,3.611940298507463,4.529411764705882,3.4339622641509435,69.8,67.9,70.4,70.8
401762442,2025-11-28 20:30:00,2025,regular,14,False,North Texas,American Athletic,1741,569.15,Temple,American Athletic,507.91,1234,-20.0,0.3173211941514427,0.19371600446396686,0.13398752088716578,0.23555530681589673,0.213305484743266,0.15540949898644313,0.04089825275921348,0.17462198555443065,0.4002531333198684,0.23472367559984583,0.27048055423151796,0.3039990768485347,0.4979435576557606,0.44375003952053077,0.3978219368929658,0.445950382316654,0.5448811421242946,0.48919915569373484,0.4591964783625313,0.49998697236807127,0.32443317289970447,0.303180377117531,0.28987204096082436,0.2997346515991764,3.245397857229248,3.162044957984816,2.5994315079416337,3.140415728340263,1.2163109149449334,1.1207758778456578,0.8964120540700314,1.1289361655266879,1.3267101501441367,1.3024808616688357,1.1848650932289133,1.2564350324578486,1.2827494779226185,1.2531843862966463,1.223200085640741,1.2659634460612352,1.0200685824385292,0.9870776783823216,0.9383794126489747,0.988532251345972,1.5422988403107598,1.579622951396263,1.5168202562760247,1.5864482762315815,0.09745762711864407,0.06073446327683616,0.03672316384180791,0.1582608695652174,0.10434782608695652,0.05391304347826087,0.14479025710419485,0.10013531799729364,0.044654939106901215,0.14580031695721077,0.08874801901743265,0.05705229793977813,5.025974025974026,4.413043478260869,4.0,4.509433962264151,65.1,72.1,72.0,74.3
401752790,2025-11-29 17:00:00,2025,regular,14,False,South Carolina,SEC,1730,833.26,Clemson,SEC,918.43,1725,-3.0,0.14413461419143733,0.07765180381867987,0.18067190388465393,0.14066992347398857,0.1122330258484615,0.007451876506027522,0.09652911037906475,0.08955922047265526,0.23393517659441812,0.22050858704082588,0.2641946090884434,0.21607136525129247,0.41850376308156695,0.395016253036437,0.43339802745637873,0.38484850020050576,0.4723531518137732,0.454061157851168,0.47936467428675494,0.4347866543839423,0.2862845321290607,0.30020467501877224,0.30049590933776466,0.3052806366323362,2.9197493864400865,2.634762102392877,2.963487569509829,2.835232463158454,1.096648209288785,0.9277037651440792,1.01822384067501,1.0936441040817602,1.1503144554376517,1.1896452753090085,0.9237847164239618,1.1158202699764248,1.2802291203334968,1.2128417363928723,1.2285305276634164,1.2873741671023353,1.0162027311368755,0.9348345667107312,0.9353104381133297,0.9780556938210432,1.5530165638853484,1.505954043277119,1.5280296592157596,1.568086461404944,0.18995290423861852,0.13814756671899528,0.05180533751962323,0.14705882352941177,0.08970588235294118,0.057352941176470586,0.16167664670658682,0.10029940119760479,0.061377245508982034,0.18305597579425115,0.10892586989409984,0.07413010590015129,2.843137254901961,4.0,3.3636363636363638,3.0689655172413794,72.7,70.3,69.5,72.5
401752921,2025-11-29 17:00:00,2025,regular,14,False,Michigan,Big Ten,1825,907.22,Ohio State,Big Ten,973.69,2158,10.0,0.23950098391761931,0.08876687657770439,0.29409746336880277,0.029218631442117837,0.20828699795118732,0.053767806918729864,0.11657115834679227,0.03704953260628939,0.27928545400063987,0.18429769627725237,0.4587083815690463,0.11254143678373299,0.47923170610522375,0.39905879031703806,0.5128610457086363,0.35975367498252026,0.5255580477130797,0.45196338745889736,0.5499720026126381,0.4402317836554075,0.31522917661894967,0.2961894197578474,0.3307356153514143,0.2647305996387662,3.2410938083748917,2.726944765806145,2.975163148862276,2.7337404862603742,1.1569524722692714,0.8629774670604712,1.0854441160514847,0.9124367736446132,1.537763286925492,1.031675204969497,1.1446839847300385,0.9123199676099745,1.1998943601218817,1.1735502246682419,1.2000308197734717,1.1666937501820225,0.967305118505636,0.9159675867922624,0.9104747263415746,0.9411666948509412,1.5202538110696637,1.4545810976518256,1.5014104061043299,1.4434271861869925,0.11385459533607682,0.07407407407407407,0.039780521262002745,0.10634920634920635,0.06666666666666667,0.03968253968253968,0.17614424410540916,0.10402219140083217,0.07212205270457697,0.16847826086956522,0.11413043478260869,0.05434782608695652,3.6973684210526314,5.083333333333333,3.6363636363636362,2.5806451612903225,69.1,72.6,70.0,74.0
401756968,2025-11-29 17:00:00,2025,regular,14,False,West Virginia,Big 12,1355,662.33,Texas Tech,Big 12,757.49,1997,24.0,0.10436868560323762,0.15575688284855674,0.21672138143939887,0.00657580939001759,0.040033959138774125,0.056704619544935476,0.11941497227612945,-0.006142709468561491,0.2031159314346751,0.2873170293749193,0.32989600605691816,0.11014520315036189,0.3839568924255471,0.40707274125491294,0.4357074472204596,0.33466117340951995,0.43172707696405926,0.44394620104276705,0.4828946425951319,0.39443797191655716,0.28202565288322107,0.3188512222760607,0.31721733999274965,0.27239021071733066,2.7510720070631054,2.581019010976504,2.7961931590602815,2.5459790948757757,0.9093276186116136,0.9783075288510175,1.0568118570534142,0.908271271131792,0.9723801920277437,1.1969110868269421,1.3096392507344137,1.0156423951448341,1.2412992542765193,1.3013747367432786,1.266449231433698,1.2242357762350928,0.943641811491262,0.9625684453443729,0.9781396055787948,0.9238724598043642,1.5956679009096009,1.6055487386834522,1.5618195034103077,1.5198707751211444,0.16550764951321278,0.1043115438108484,0.061196105702364396,0.1483957219251337,0.08422459893048129,0.06417112299465241,0.1736111111111111,0.1111111111111111,0.0625,0.2314540059347181,0.14540059347181009,0.08605341246290801,3.611111111111111,3.8875,3.7222222222222223,2.5609756097560976,71.4,69.4,63.6,73.6
401762872,2025-11-29 17:00:00,2025,regular,14,False,Central Michigan,Mid-American,1291,481.16,Toledo,Mid-American,620.13,1642,10.5,0.1404455553655762,0.15461418749065448,0.18195124048392372,0.03076443422583927,0.07401158566166735,0.10565165600847946,0.09787299297593406,0.06789536146037727,0.3367565483819096,0.215495697875574,0.3167075889224928,0.0801739153952491,0.37984110934099014,0.44687029230283054,0.41620159277126084,0.38437856445471225,0.45228383479824485,0.4887641036860453,0.471828970712884,0.4394534734811234,0.28233544729707705,0.2969405108161192,0.30736947549591126,0.2639201903924426,2.7956853896499902,2.987874744150509,2.9594003329361223,2.72422148410413,0.9446108372998725,1.162357717736939,1.088201853820338,0.8581716911249011,1.167376813794546,1.324291406471699,1.1922331465241833,0.920061811705777,1.239882437997573,1.2235810028191862,1.2493726201368154,1.2241053826011195,0.9675308543017759,0.9518309990514193,0.9315998117279846,0.9200011809208677,1.5891233201414894,1.518513043015947,1.5700556351226156,1.5905679546194844,0.14215686274509803,0.10784313725490197,0.03431372549019608,0.1163141993957704,0.0770392749244713,0.03927492447129909,0.1581259150805271,0.09224011713030747,0.06588579795021962,0.18769230769230769,0.11538461538461539,0.07230769230769231,3.8214285714285716,3.7868852459016393,3.2241379310344827,2.5217391304347827,69.9,71.5,69.0,72.4
401762875,2025-11-29 17:00:00,2025,regular,14,False,Miami (OH),Mid-American,1451,592.1,Ball State,Mid-American,495.35,1018,-17.5,0.09514518566569065,0.15593807029338555,0.011972436974032191,0.1895972217072749,0.07008067028522819,0.11342254478064354,0.04339725922111447,0.12124849572435417,0.21224857135464256,0.2309032065863204,0.06320595069585933,0.3145668944305998,0.3738502544932955,0.4335110755040135,0.29366216416610325,0.45937427203957126,0.43629474170415633,0.47802271550589365,0.3632571246238423,0.4890591562964895,0.29065879843264847,0.30708407522177517,0.2572340205868793,0.32171718723665405,2.898200145419696,2.766193934604458,2.5257765394058267,2.879037501927008,0.9783874651781205,1.0239778333450547,0.9176655530196236,1.016142425513331,1.066551502225776,1.1908236216203647,1.179797406157074,1.4591298749868238,1.2456992106528848,1.2415527612798345,1.2817126407789374,1.2748095715513315,0.9452492286207946,0.9502116030881712,0.9908099441426083,0.9890809726690337,1.5759917987833632,1.5370122412920504,1.574845823202566,1.5697285807413377,0.1345514950166113,0.06976744186046512,0.06478405315614617,0.21061093247588425,0.15755627009646303,0.05305466237942122,0.18345864661654135,0.10526315789473684,0.07819548872180451,0.13257575757575757,0.08257575757575758,0.05,3.543859649122807,2.196078431372549,3.7755102040816326,3.6666666666666665,67.4,74.1,72.2,69.0
