id,season,week,home_team,away_team,season_type
400869221,2016,7,Fresno State,San Diego State,regular
400868928,2016,7,BYU,Mississippi State,regular
400869627,2016,7,Texas Tech,West Virginia,regular
400869026,2016,7,Georgia,Vanderbilt,regular
400869608,2016,7,Oklahoma,Kansas State,regular
400869462,2016,7,Clemson,NC State,regular
400868915,2016,7,Army,Lafayette,regular
400869671,2016,7,Maryland,Minnesota,regular
400869673,2016,7,Purdue,Iowa,regular
400869637,2016,7,Rutgers,Illinois,regular
400869465,2016,7,Virginia,Pittsburgh,regular
400869464,2016,7,Georgia Tech,Georgia Southern,regular
400869308,2016,7,Ohio,Eastern Michigan,regular
400869309,2016,7,Miami (OH),Kent State,regular
400869384,2016,7,Middle Tennessee,Western Kentucky,regular
400869136,2016,7,Arizona,USC,regular
400869307,2016,7,Northern Illinois,Central Michigan,regular
400868963,2016,7,Massachusetts,Louisiana Tech,regular
400869827,2016,7,Troy,Georgia State,regular
400869670,2016,7,Indiana,Nebraska,regular
400868880,2016,7,Baylor,Kansas,regular
400869463,2016,7,Florida State,Wake Forest,regular
400869305,2016,7,Buffalo,Ball State,regular
400869672,2016,7,Michigan State,Northwestern,regular
400869306,2016,7,Toledo,Bowling Green,regular
400869028,2016,7,Tennessee,Alabama,regular
400869219,2016,7,Air Force,New Mexico,regular
400869310,2016,7,Akron,Western Michigan,regular
400869723,2016,7,Miami,North Carolina,regular
400869466,2016,7,Syracuse,Virginia Tech,regular
400869025,2016,7,Florida,Missouri,regular
400869139,2016,7,Oregon State,Utah,regular
400869828,2016,7,Idaho,New Mexico State,regular
400869382,2016,7,Charlotte,Florida International,regular
400869024,2016,7,Arkansas,Ole Miss,regular
400869541,2016,7,Houston,Tulsa,regular
400869591,2016,7,Texas,Iowa State,regular
400869385,2016,7,Rice,UTSA,regular
400869829,2016,7,UL Monroe,Texas State,regular
400869826,2016,7,Arkansas State,South Alabama,regular
400869540,2016,7,South Florida,UConn,regular
400869383,2016,7,Marshall,Florida Atlantic,regular
400869539,2016,7,UCF,Temple,regular
400869027,2016,7,LSU,Southern Miss,regular
400868952,2016,7,Notre Dame,Stanford,regular
400869644,2016,7,Wisconsin,Ohio State,regular
400869137,2016,7,Colorado,Arizona State,regular
400869220,2016,7,Boise State,Colorado State,regular
400869223,2016,7,San José State,Nevada,regular
400869138,2016,7,Washington State,UCLA,regular
400869222,2016,7,Hawai'i,UNLV,regular
400869467,2016,8,Virginia Tech,Miami,regular
400869830,2016,8,South Alabama,Troy,regular
400869224,2016,8,Boise State,BYU,regular
400869542,2016,8,Temple,South Florida,regular
400869230,2016,8,San Diego State,San José State,regular
400869140,2016,8,California,Oregon,regular
400869678,2016,8,Northwestern,Indiana,regular
400869313,2016,8,Toledo,Central Michigan,regular
400869674,2016,8,Iowa,Wisconsin,regular
400869316,2016,8,Bowling Green,Miami (OH),regular
400869600,2016,8,Kansas,Oklahoma State,regular
400869638,2016,8,Minnesota,Rutgers,regular
400869469,2016,8,Louisville,NC State,regular
400869609,2016,8,Kansas State,Texas,regular
400869543,2016,8,UConn,UCF,regular
400868916,2016,8,Army,North Texas,regular
400868964,2016,8,South Carolina,Massachusetts,regular
400869468,2016,8,Boston College,Syracuse,regular
400869315,2016,8,Kent State,Ohio,regular
400869225,2016,8,Air Force,Hawai'i,regular
400869470,2016,8,Virginia,North Carolina,regular
400869143,2016,8,Stanford,Colorado,regular
400869311,2016,8,Ball State,Akron,regular
400869029,2016,8,Alabama,Texas A&M,regular
400869677,2016,8,Nebraska,Purdue,regular
400869312,2016,8,Northern Illinois,Buffalo,regular
400869831,2016,8,App State,Idaho,regular
400869314,2016,8,Western Michigan,Eastern Michigan,regular
400869628,2016,8,West Virginia,TCU,regular
400869676,2016,8,Michigan,Illinois,regular
400869546,2016,8,Navy,Memphis,regular
400869389,2016,8,Rice,Prairie View A&M,regular
400869833,2016,8,Georgia State,UT Martin,regular
400869547,2016,8,Tulsa,Tulane,regular
400869142,2016,8,UCLA,Utah,regular
400869033,2016,8,Missouri,Middle Tennessee,regular
400869386,2016,8,Marshall,Charlotte,regular
400869226,2016,8,UNLV,Colorado State,regular
400869030,2016,8,Auburn,Arkansas,regular
400869144,2016,8,Washington,Oregon State,regular
400869834,2016,8,Texas State,Louisiana,regular
400869388,2016,8,Western Kentucky,Old Dominion,regular
400869387,2016,8,Florida International,Louisiana Tech,regular
400869544,2016,8,Cincinnati,East Carolina,regular
400869545,2016,8,SMU,Houston,regular
400869390,2016,8,UTSA,UTEP,regular
400869034,2016,8,Vanderbilt,Tennessee State,regular
400869675,2016,8,Maryland,Michigan State,regular
400869031,2016,8,Kentucky,Mississippi State,regular
400869645,2016,8,Penn State,Ohio State,regular
400869832,2016,8,New Mexico State,Georgia Southern,regular
400869616,2016,8,Texas Tech,Oklahoma,regular
400869227,2016,8,New Mexico,UL Monroe,regular
400869032,2016,8,LSU,Ole Miss,regular
400869141,2016,8,Arizona State,Washington State,regular
400869228,2016,8,Utah State,Fresno State,regular
400869229,2016,8,Nevada,Wyoming,regular
400869471,2016,9,Pittsburgh,Virginia Tech,regular
400869318,2016,9,Toledo,Ohio,regular
400869835,2016,9,Georgia Southern,App State,regular
400869317,2016,9,Buffalo,Akron,regular
400869145,2016,9,USC,California,regular
400869548,2016,9,South Florida,Navy,regular
400869234,2016,9,Utah State,San Diego State,regular
400869231,2016,9,Fresno State,Air Force,regular
400869474,2016,9,Georgia Tech,Duke,regular
400869319,2016,9,Central Michigan,Kent State,regular
400868965,2016,9,Massachusetts,Wagner,regular
400869681,2016,9,Michigan State,Michigan,regular
400869475,2016,9,Virginia,Louisville,regular
400869682,2016,9,Purdue,Penn State,regular
400869038,2016,9,Missouri,Kentucky,regular
400869549,2016,9,Houston,UCF,regular
400869551,2016,9,East Carolina,UConn,regular
400869592,2016,9,Iowa State,Kansas State,regular
400869679,2016,9,Illinois,Minnesota,regular
400869621,2016,9,Oklahoma State,West Virginia,regular
400869472,2016,9,NC State,Boston College,regular
400869646,2016,9,Ohio State,Northwestern,regular
400868881,2016,9,Texas,Baylor,regular
400868953,2016,9,Notre Dame,Miami,regular
400869550,2016,9,Temple,Cincinnati,regular
400869037,2016,9,Mississippi State,Samford,regular
400869148,2016,9,Utah,Washington,regular
400868917,2016,9,Wake Forest,Army,regular
400869392,2016,9,Florida Atlantic,Western Kentucky,regular
400869035,2016,9,Georgia,Florida,regular
400869629,2016,9,TCU,Texas Tech,regular
400869680,2016,9,Indiana,Maryland,regular
400869717,2016,9,Eastern Michigan,Miami (OH),regular
400869553,2016,9,Tulane,SMU,regular
400869837,2016,9,South Alabama,Georgia State,regular
400869147,2016,9,Oregon,Arizona State,regular
400869601,2016,9,Oklahoma,Kansas,regular
400869232,2016,9,Wyoming,Boise State,regular
400869683,2016,9,Wisconsin,Nebraska,regular
400869391,2016,9,Florida International,Middle Tennessee,regular
400869394,2016,9,Southern Miss,Marshall,regular
400869836,2016,9,Arkansas State,UL Monroe,regular
400869395,2016,9,UTSA,North Texas,regular
400869393,2016,9,Louisiana Tech,Rice,regular
400869036,2016,9,Ole Miss,Auburn,regular
400869039,2016,9,South Carolina,Tennessee,regular
400869040,2016,9,Texas A&M,New Mexico State,regular
400869473,2016,9,Florida State,Clemson,regular
400869552,2016,9,Memphis,Tulsa,regular
400869396,2016,9,UTEP,Old Dominion,regular
400869235,2016,9,San José State,UNLV,regular
400869149,2016,9,Oregon State,Washington State,regular
400869146,2016,9,Arizona,Stanford,regular
400869233,2016,9,Hawai'i,New Mexico,regular
400869320,2016,10,Northern Illinois,Bowling Green,regular
400869321,2016,10,Ball State,Western Michigan,regular
400869322,2016,10,Akron,Toledo,regular
400869323,2016,10,Ohio,Buffalo,regular
400869838,2016,10,Georgia State,Arkansas State,regular
400869593,2016,10,Iowa State,Oklahoma,regular
400869150,2016,10,Colorado,UCLA,regular
400869324,2016,10,Miami (OH),Central Michigan,regular
400869554,2016,10,UConn,Temple,regular
400869236,2016,10,Boise State,San José State,regular
400868954,2016,10,Navy,Notre Dame,regular
400869684,2016,10,Illinois,Michigan State,regular
400868918,2016,10,Army,Air Force,regular
400869639,2016,10,Rutgers,Indiana,regular
400869046,2016,10,Mississippi State,Texas A&M,regular
400869630,2016,10,Texas Tech,Texas,regular
400869042,2016,10,Auburn,Vanderbilt,regular
400869045,2016,10,Ole Miss,Georgia Southern,regular
400869476,2016,10,Boston College,Louisville,regular
400869687,2016,10,Northwestern,Wisconsin,regular
400869480,2016,10,North Carolina,Georgia Tech,regular
400869481,2016,10,Miami,Pittsburgh,regular
400869403,2016,10,Middle Tennessee,UTSA,regular
400869482,2016,10,Wake Forest,Virginia,regular
400869237,2016,10,Colorado State,Fresno State,regular
400869153,2016,10,Stanford,Oregon State,regular
400868966,2016,10,Troy,Massachusetts,regular
400868930,2016,10,Cincinnati,BYU,regular
400868882,2016,10,Baylor,TCU,regular
400869399,2016,10,Rice,Florida Atlantic,regular
400869041,2016,10,Arkansas,Florida,regular
400869839,2016,10,App State,Texas State,regular
400869477,2016,10,Clemson,Syracuse,regular
400869685,2016,10,Michigan,Maryland,regular
400869610,2016,10,Kansas State,Oklahoma State,regular
400869478,2016,10,Duke,Virginia Tech,regular
400869686,2016,10,Minnesota,Purdue,regular
400869397,2016,10,Southern Miss,Charlotte,regular
400869151,2016,10,Washington State,Arizona,regular
400869047,2016,10,South Carolina,Missouri,regular
400869556,2016,10,SMU,Memphis,regular
400869048,2016,10,Tennessee,Tennessee Tech,regular
400869840,2016,10,Louisiana,Idaho,regular
400869841,2016,10,UL Monroe,South Alabama,regular
400921256,2016,10,UCF,Tulane,regular
400869398,2016,10,Western Kentucky,Florida International,regular
400869400,2016,10,North Texas,Louisiana Tech,regular
400869240,2016,10,San Diego State,Hawai'i,regular
400869152,2016,10,USC,Oregon,regular
400869401,2016,10,Old Dominion,Marshall,regular
400869479,2016,10,NC State,Florida State,regular
400869602,2016,10,West Virginia,Kansas,regular
400869688,2016,10,Penn State,Iowa,regular
400869043,2016,10,Kentucky,Georgia,regular
400869402,2016,10,UTEP,Houston Christian,regular
400869555,2016,10,Tulsa,East Carolina,regular
400869647,2016,10,Ohio State,Nebraska,regular
400869044,2016,10,LSU,Alabama,regular
400869239,2016,10,Wyoming,Utah State,regular
400869238,2016,10,New Mexico,Nevada,regular
400869154,2016,10,California,Washington,regular
400869325,2016,11,Ball State,Eastern Michigan,regular
400869326,2016,11,Kent State,Western Michigan,regular
400869327,2016,11,Akron,Bowling Green,regular
400869328,2016,11,Northern Illinois,Toledo,regular
400869844,2016,11,Georgia Southern,Louisiana,regular
400869483,2016,11,Duke,North Carolina,regular
400869155,2016,11,Arizona State,Utah,regular
400869484,2016,11,Florida State,Boston College,regular
400869692,2016,11,Purdue,Northwestern,regular
400869594,2016,11,Kansas,Iowa State,regular
400869557,2016,11,UCF,Cincinnati,regular
400869054,2016,11,Tennessee,Kentucky,regular
400869051,2016,11,Florida,South Carolina,regular
400869631,2016,11,Texas,West Virginia,regular
400868883,2016,11,Oklahoma,Baylor,regular
400869049,2016,11,Alabama,Mississippi State,regular
400869689,2016,11,Indiana,Penn State,regular
400869640,2016,11,Michigan State,Rutgers,regular
400869561,2016,11,Navy,Tulsa,regular
400869558,2016,11,East Carolina,SMU,regular
400869488,2016,11,Syracuse,NC State,regular
400869329,2016,11,Buffalo,Miami (OH),regular
400869724,2016,11,Virginia,Miami,regular
400869404,2016,11,Charlotte,Rice,regular
400869845,2016,11,Georgia State,UL Monroe,regular
400869843,2016,11,Arkansas State,New Mexico State,regular
400868931,2016,11,BYU,Southern Utah,regular
