id,start_date,season,season_type,week,neutral_site,home_team,home_conference,home_elo,home_talent,away_team,away_conference,away_talent,away_elo,home_points,away_points,margin,spread,home_adjusted_epa,home_adjusted_epa_allowed,away_adjusted_epa,away_adjusted_epa_allowed,home_adjusted_rushing_epa,home_adjusted_rushing_epa_allowed,away_adjusted_rushing_epa,away_adjusted_rushing_epa_allowed,home_adjusted_passing_epa,home_adjusted_passing_epa_allowed,away_adjusted_passing_epa,away_adjusted_passing_epa_allowed,home_adjusted_success,home_adjusted_success_allowed,away_adjusted_success,away_adjusted_success_allowed,home_adjusted_standard_down_success,home_adjusted_standard_down_success_allowed,away_adjusted_standard_down_success,away_adjusted_standard_down_success_allowed,home_adjusted_passing_down_success,home_adjusted_passing_down_success_allowed,away_adjusted_passing_down_success,away_adjusted_passing_down_success_allowed,home_adjusted_line_yards,home_adjusted_line_yards_allowed,away_adjusted_line_yards,away_adjusted_line_yards_allowed,home_adjusted_second_level_yards,home_adjusted_second_level_yards_allowed,away_adjusted_second_level_yards,away_adjusted_second_level_yards_allowed,home_adjusted_open_field_yards,home_adjusted_open_field_yards_allowed,away_adjusted_open_field_yards,away_adjusted_open_field_yards_allowed,home_adjusted_explosiveness,home_adjusted_explosiveness_allowed,away_adjusted_explosiveness,away_adjusted_explosiveness_allowed,home_adjusted_rush_explosiveness,home_adjusted_rush_explosiveness_allowed,away_adjusted_rush_explosiveness,away_adjusted_rush_explosiveness_allowed,home_adjusted_pass_explosiveness,home_adjusted_pass_explosiveness_allowed,away_adjusted_pass_explosiveness,away_adjusted_pass_explosiveness_allowed,home_total_havoc_offense,home_front_seven_havoc_offense,home_db_havoc_offense,away_total_havoc_offense,away_front_seven_havoc_offense,away_db_havoc_offense,home_total_havoc_defense,home_front_seven_havoc_defense,home_db_havoc_defense,away_total_havoc_defense,away_front_seven_havoc_defense,away_db_havoc_defense,home_points_per_opportunity_offense,away_points_per_opportunity_offense,home_points_per_opportunity_defense,away_points_per_opportunity_defense,home_avg_start_offense,home_avg_start_defense,away_avg_start_offense,away_avg_start_defense,startTimeTBD,completed,conference_game,venueId,venue,homeId,homeClassification,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayClassification,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,attendance
400876103,2016-12-30 17:00:00,2016,postseason,1,True,TCU,Big 12,1718.0,665.53,Georgia,Big 12,872.0,1643.0,23.0,31.0,-8.0,-1.5,0.1621088814427446,0.1166919173737389,0.1194219412389646,0.1253285950339618,0.1826325171775865,0.1427772750464875,0.0856263489441654,0.1171670957604248,0.1583790818377502,0.1295501454404641,0.1919551557253198,0.1650859072638595,0.4423622303327598,0.3792594205821108,0.424383644747063,0.4078813292146139,0.4983989247720686,0.4333776069533629,0.4765126541593645,0.4473599340430459,0.3213163092724818,0.3164212420983495,0.323387167708099,0.3329592002649204,3.12351876097292,3.001000941489785,2.9883367404772185,2.8985012549059284,1.3065174875867571,1.037306083655646,1.2195429218906382,1.063651419385299,1.462115906455394,1.2732637360661443,1.310856744560141,1.2924367228890266,1.1885384830697785,1.1899944681881007,1.160306295557897,1.188291310148397,1.0105031678426006,0.972372358223048,0.9078614011783804,0.9571330844736604,1.5243937245583803,1.6349312045145823,1.6298039857206816,1.5933143862528356,0.1607981220657277,0.0915492957746478,0.0692488262910798,0.1658354114713217,0.1072319201995012,0.0586034912718204,0.1599552572706935,0.0961968680089485,0.0637583892617449,0.1708029197080292,0.1021897810218978,0.0686131386861313,3.119047619047619,2.7160493827160495,3.345679012345679,3.765625,70.6,72.3,69.5,71.3,,,,,,,,,,,,,,,,,,,,,
400876107,2016-12-31 20:00:00,2016,postseason,1,True,Alabama,SEC,2311.0,982.66,Washington,SEC,699.64,2149.0,24.0,7.0,17.0,-14.0,0.2725138348005492,-0.0985092164907727,0.2939008716357821,0.0444933810271268,0.2280023532463254,-0.0663446200741812,0.1829206142705319,0.0627497473406442,0.3025297826631588,-0.0343154804962178,0.4065467580469187,0.0816084096819594,0.5064513562744108,0.292092621871132,0.5235142265159236,0.3596606012997697,0.5462694961435419,0.362518344703141,0.5590119690810412,0.414343002853682,0.361136130948076,0.2638096867347536,0.3583988337988336,0.3047069233721213,3.161504921952558,1.9298538591541927,3.096851807255502,2.8559395125276716,1.3540400590396122,0.8185432824617692,1.230164094695317,1.0297807945163773,1.8916560791691277,1.0330989369736017,1.5539296475853035,1.1838104204237132,1.1817470815008324,1.2216413928393088,1.1922486462578583,1.2055395277208905,0.9895764485008604,0.9568852637678728,0.95190259679369,0.9707607168937752,1.5998204772128932,1.615530766765353,1.6376328157859463,1.5801663658821257,0.1609977324263038,0.1235827664399093,0.0374149659863945,0.145478374836173,0.0865006553079947,0.0589777195281782,0.2348387096774193,0.1483870967741935,0.0864516129032258,0.172680412371134,0.1056701030927835,0.0670103092783505,3.7766990291262137,4.336956521739131,1.7662337662337662,2.9859154929577465,66.8,70.3,69.4,70.5,,,,,,,,,,,,,,,,,,,,,
400876108,2017-01-01 00:00:00,2016,postseason,1,True,Clemson,ACC,2077.0,846.0,Ohio State,ACC,902.46,2328.0,31.0,0.0,31.0,3.0,0.2239294928297059,0.0427854150688612,0.2518453975411319,-0.0242109521608885,0.1061077262549466,0.0613934445125729,0.239953683965405,-0.0105941067380142,0.3414895849090787,0.0647271293372654,0.2687776933710558,0.0380919965637919,0.5229203151936901,0.3634632015495385,0.51745582219653,0.3381530702140705,0.5514293026367605,0.4473971727925313,0.5562247128482325,0.3958259718064251,0.3726961776501751,0.2614601287403118,0.3650227770767023,0.2911503293150557,3.1934912812256666,2.605039561357908,3.404350120404748,2.469338686234015,1.087857098838954,1.0427928672081013,1.3257801201616273,0.9444015737993096,1.197402068297458,1.360210659894914,1.4965997043590795,1.2371198007855668,1.1228441379558338,1.1877508818445957,1.1136431984528097,1.1692901793271613,0.8437899070525589,0.9430010346911324,0.9462839415071064,0.9404804045687776,1.5058869316896395,1.5740649435184284,1.4993196167595648,1.576905147796102,0.1314699792960662,0.0734989648033126,0.0579710144927536,0.128042328042328,0.0751322751322751,0.0529100529100529,0.2147093712930012,0.1364175563463819,0.0782918149466192,0.2024691358024691,0.1185185185185185,0.0839506172839506,4.0,4.03921568627451,2.674698795180723,2.484848484848485,66.5,68.3,68.6,73.4,,,,,,,,,,,,,,,,,,,,,
400876112,2017-01-03 01:50:00,2016,postseason,1,True,Oklahoma,Big 12,2013.0,777.48,Auburn,Big 12,865.36,1938.0,35.0,19.0,16.0,-5.5,0.3295438755809992,0.1769639335460918,0.2146623562868552,0.0741417422089404,0.1304015111639151,0.1369146030717646,0.1647393433587116,0.0196000581083242,0.552191502227359,0.2297620251883822,0.2801088352441307,0.1835796223287455,0.5092693476607445,0.3948429888381387,0.4796823878060202,0.3885870635695679,0.5272740873019163,0.4383470498305115,0.5061186039876221,0.4337201637806647,0.3879998874070398,0.3396190868538323,0.35887156274269,0.3304407694218249,3.0782552662147267,3.0290905870507157,3.239922912028316,2.661583349450574,1.1679398104898688,1.1303263859189765,1.156283853259945,0.9605951024457609,1.6294148761282623,1.4092869242372243,1.5182336894710309,1.186348389596399,1.2717700210050378,1.2645143335799782,1.141832208863227,1.1749014792218806,0.9554241442821954,1.0060003868199194,0.9582281471393168,0.93192744093468,1.7453986667548025,1.664878429582079,1.649311541318685,1.5835901608165162,0.1262569832402234,0.088268156424581,0.0379888268156424,0.1417910447761194,0.099502487562189,0.0422885572139303,0.1522222222222222,0.0844444444444444,0.0677777777777777,0.1958128078817734,0.1133004926108374,0.0825123152709359,4.824175824175824,3.7012987012987018,3.3658536585365852,2.72,71.2,70.9,71.1,73.0,,,,,,,,,,,,,,,,,,,,,
400876570,2017-01-10 01:00:00,2016,postseason,1,True,Alabama,SEC,2340.0,982.66,Clemson,SEC,846.0,2206.0,31.0,35.0,-4.0,-6.0,0.2725138348005492,-0.0985092164907727,0.2239294928297059,0.0427854150688612,0.2280023532463254,-0.0663446200741812,0.1061077262549466,0.0613934445125729,0.3025297826631588,-0.0343154804962178,0.3414895849090787,0.0647271293372654,0.5064513562744108,0.292092621871132,0.5229203151936901,0.3634632015495385,0.5462694961435419,0.362518344703141,0.5514293026367605,0.4473971727925313,0.361136130948076,0.2638096867347536,0.3726961776501751,0.2614601287403118,3.161504921952558,1.9298538591541927,3.1934912812256666,2.605039561357908,1.3540400590396122,0.8185432824617692,1.087857098838954,1.0427928672081013,1.8916560791691277,1.0330989369736017,1.197402068297458,1.360210659894914,1.1817470815008324,1.2216413928393088,1.1228441379558338,1.1877508818445957,0.9895764485008604,0.9568852637678728,0.8437899070525589,0.9430010346911324,1.5998204772128932,1.615530766765353,1.5058869316896395,1.5740649435184284,0.1609977324263038,0.1235827664399093,0.0374149659863945,0.1314699792960662,0.0734989648033126,0.0579710144927536,0.2348387096774193,0.1483870967741935,0.0864516129032258,0.2147093712930012,0.1364175563463819,0.0782918149466192,3.7766990291262137,4.0,1.7662337662337662,2.674698795180723,66.8,70.3,66.5,68.3,,,,,,,,,,,,,,,,,,,,,
400869010,2016-10-01 23:00:00,2016,regular,5,False,Alabama,SEC,2125.0,982.66,Kentucky,SEC,652.07,1419.0,34.0,6.0,28.0,-32.5,0.2230402302889474,0.0481805231518749,0.1888801110193605,0.2162525915598335,0.193148674806782,0.0221433270062957,0.1482073624440727,0.1603273128519748,0.2517672915871914,0.1344714325347162,0.2372060391857063,0.2736368871152611,0.4551640707749423,0.3333771425705602,0.4463000045986131,0.482203061473655,0.5062684420722976,0.4220812802502446,0.5078932181611894,0.5030965494002817,0.3346964175449547,0.2611574187438093,0.3064698559666612,0.3686403308500303,3.041990045819902,2.248162933186712,3.0596744124741773,3.246245487261794,1.2175390196110571,0.9134388409313304,1.1570642021651412,1.0866862106277249,1.5031995853672595,1.3698256300543044,1.3797843896995476,1.0844154652692974,1.228454512806887,1.2056393876573528,1.2225564295238251,1.179560516748005,0.9765970978743168,0.9574015970287983,0.942093591111382,0.918154147375331,1.6515037634878564,1.5817505098835605,1.704495221006694,1.6408868950415003,0.1359223300970873,0.0970873786407767,0.0388349514563106,0.1983122362869198,0.1518987341772152,0.0464135021097046,0.2111553784860557,0.1274900398406374,0.0836653386454183,0.1490683229813664,0.0745341614906832,0.0745341614906832,4.205128205128205,3.9130434782608696,2.466666666666667,4.166666666666667,68.8,74.1,69.4,71.1,,,,,,,,,,,,,,,,,,,,,
400869013,2016-10-01 19:30:00,2016,regular,5,False,Georgia,SEC,1632.0,872.0,Tennessee,SEC,813.92,1792.0,31.0,34.0,-3.0,2.5,0.1385271302899105,0.1408603723373599,0.1427577899685763,0.1543311833899682,0.1091971447317997,0.1025322010258593,0.0935258824872354,0.0942345615962492,0.1946273565972887,0.2165394490808465,0.2180971561389073,0.2388830216406021,0.4209522010580814,0.4187201829651277,0.4573290018302043,0.4386179655565716,0.474967155095795,0.4634198617123741,0.4868734335838686,0.4945107836469338,0.3230986583827427,0.3331693435154612,0.3427990536685942,0.3207502335090961,3.1114299066042923,2.881446722596289,3.0345294838213803,2.815409270501162,1.2062970216066018,1.141726922028887,1.0991321743857472,0.9870712151755834,1.2557160758519228,1.3909870572369547,1.2376455239064064,1.0981289280467263,1.1847883016803915,1.2092935026626288,1.1798924714135484,1.1341582306067242,0.9241425239664024,0.9505303902721188,0.917886011791135,0.8934072857749709,1.604247705809067,1.5994234766295954,1.654330991743331,1.5745879516739425,0.1497975708502024,0.0931174089068826,0.0566801619433198,0.173076923076923,0.1136363636363636,0.0594405594405594,0.1507537688442211,0.0653266331658291,0.0854271356783919,0.1737588652482269,0.1170212765957446,0.0567375886524822,2.939393939393939,3.8285714285714287,3.5416666666666665,3.193548387096774,70.1,70.7,66.8,72.8,,,,,,,,,,,,,,,,,,,,,
400869620,2016-10-01 16:00:00,2016,regular,5,False,Oklahoma State,Big 12,1625.0,631.68,Texas,Big 12,838.97,1573.0,49.0,31.0,18.0,-3.0,0.1428473804954357,0.1784894191121876,0.1932039273941232,0.1674501878213087,0.0314692392450697,0.0688518440055765,0.1522422372275013,0.0939239358376287,0.2474130253800817,0.289034433013414,0.2571068263834692,0.2548471602702171,0.4316594891826967,0.4058528604582082,0.4552055160112094,0.3913212782392973,0.4609890153110453,0.4428812222317987,0.5192074084364102,0.4377218120509625,0.3556214457618777,0.3364247782963075,0.3067691480521359,0.3306200839763553,2.686484289559812,2.749998448468461,3.0465078573173128,2.8335148825685956,1.045965923718083,1.0997126987899797,1.1053356826038636,1.0248837324484843,1.2884882995193616,1.3360841314125966,1.1717078646613124,1.3331168680898935,1.2358091384866443,1.2593088939219772,1.157515105014687,1.2284669337264205,0.9301896223567164,0.9509889326036312,0.9364016073890222,0.941639598219544,1.6655831243039594,1.6865732523388794,1.557181143786699,1.6669644342828411,0.217391304347826,0.150197628458498,0.067193675889328,0.0984251968503937,0.0708661417322834,0.0275590551181102,0.2054794520547945,0.1278538812785388,0.0776255707762557,0.1880733944954128,0.1376146788990825,0.0504587155963302,3.96875,4.380952380952381,4.222222222222222,4.421052631578948,69.0,71.4,71.2,72.4,,,,,,,,,,,,,,,,,,,,,
400869635,2016-10-01 16:00:00,2016,regular,5,False,Ohio State,Big Ten,2164.0,902.46,Rutgers,Big Ten,585.47,1355.0,58.0,0.0,58.0,-37.0,0.2191190129438168,0.023867937720181,0.0834645029285311,0.1265479378492404,0.2009969090083612,0.0035238523549192,0.0555727775148128,0.054426045065224,0.2500852147755529,0.122867843282615,0.184792507089435,0.2245424488775497,0.5175946598286604,0.3690238835344382,0.3729857134805711,0.3915054125189364,0.5420749721448869,0.4220401802570738,0.4143716032511277,0.4511065719223677,0.3627251877134597,0.3138172233877853,0.3286195452774848,0.3150980455008624,3.4450335803053713,2.6655258412342353,2.7520652047247944,2.921658036920707,1.3079422201479385,0.9799815885592814,0.9670142657823048,1.1114575561229425,1.2664480752964653,1.230144915937332,1.227746899028995,1.202435608373342,1.1571191803408687,1.1830280018668171,1.1782743785151848,1.2048707596447097,0.931231794872892,0.9378660186717582,0.934787025041833,0.932476093495654,1.6033171455781952,1.5631555867878042,1.6187304359199062,1.6280433741801594,0.0686695278969957,0.03862660944206,0.0300429184549356,0.1379310344827586,0.1034482758620689,0.0344827586206896,0.2180094786729857,0.1042654028436018,0.1137440758293838,0.1557788944723618,0.0954773869346733,0.0603015075376884,4.129032258064516,1.6111111111111112,2.16,1.8095238095238095,66.9,75.3,68.4,61.7,,,,,,,,,,,,,,,,,,,,,
400869018,2016-10-08 23:00:00,2016,regular,6,False,Arkansas,SEC,1717.0,689.41,Alabama,SEC,982.66,2124.0,30.0,49.0,-19.0,13.0,0.1756354183648737,0.1270695833229456,0.221603069279973,0.0207679727948086,0.0593898671229183,0.1381393478345526,0.1858192062188894,-0.0075831336373383,0.3134378424535011,0.1477145041011268,0.2557656842626555,0.1186825764892284,0.4281893596439711,0.3925867772042211,0.4607936096003222,0.3179696243388875,0.4455843378243345,0.4278065705679124,0.5096603931110195,0.4019537714039056,0.36877980551104,0.3455737642738357,0.3418963311891252,0.2667903623047929,2.746671617491114,2.921002967356737,3.048671772268276,2.0353714779038334,1.0327432738294835,1.1659390274576236,1.2051259371635843,0.9287204530219706,1.2096388062522263,1.5706149409360797,1.4782576862842736,1.3073078091757344,1.208219908193033,1.2503332799925724,1.2202572148549518,1.2092944911632562,0.9361831783624344,1.0020494984663488,0.9763266022543736,0.9756580348124604,1.6373840610394568,1.5950408043669493,1.634089320168713,1.5687257055244808,0.1815068493150685,0.1095890410958904,0.071917808219178,0.1269430051813471,0.0906735751295336,0.0362694300518134,0.1698841698841698,0.0965250965250965,0.0733590733590733,0.2122186495176848,0.1414790996784566,0.0707395498392283,4.0,4.0638297872340425,3.21875,2.0277777777777777,73.0,69.2,67.9,73.0,,,,,,,,,,,,,,,,,,,,,
