season,team,conference,offense_passingPlays_explosiveness,offense_passingPlays_successRate,offense_passingPlays_totalPPA,offense_passingPlays_ppa,offense_passingPlays_rate,offense_rushingPlays_explosiveness,offense_rushingPlays_successRate,offense_rushingPlays_totalPPA,offense_rushingPlays_ppa,offense_rushingPlays_rate,offense_passingDowns_explosiveness,offense_passingDowns_successRate,offense_passingDowns_ppa,offense_passingDowns_rate,offense_standardDowns_explosiveness,offense_standardDowns_successRate,offense_standardDowns_ppa,offense_standardDowns_rate,offense_havoc_db,offense_havoc_frontSeven,offense_havoc_total,offense_fieldPosition_averagePredictedPoints,offense_fieldPosition_averageStart,offense_pointsPerOpportunity,offense_totalOpportunies,offense_openFieldYardsTotal,offense_openFieldYards,offense_secondLevelYardsTotal,offense_secondLevelYards,offense_lineYardsTotal,offense_lineYards,offense_stuffRate,offense_powerSuccess,offense_explosiveness,offense_successRate,offense_totalPPA,offense_ppa,offense_drives,offense_plays,defense_passingPlays_explosiveness,defense_passingPlays_successRate,defense_passingPlays_totalPPA,defense_passingPlays_ppa,defense_passingPlays_rate,defense_rushingPlays_explosiveness,defense_rushingPlays_successRate,defense_rushingPlays_totalPPA,defense_rushingPlays_ppa,defense_rushingPlays_rate,defense_passingDowns_explosiveness,defense_passingDowns_successRate,defense_passingDowns_totalPPA,defense_passingDowns_ppa,defense_passingDowns_rate,defense_standardDowns_explosiveness,defense_standardDowns_successRate,defense_standardDowns_ppa,defense_standardDowns_rate,defense_havoc_db,defense_havoc_frontSeven,defense_havoc_total,defense_fieldPosition_averagePredictedPoints,defense_fieldPosition_averageStart,defense_pointsPerOpportunity,defense_totalOpportunies,defense_openFieldYardsTotal,defense_openFieldYards,defense_secondLevelYardsTotal,defense_secondLevelYards,defense_lineYardsTotal,defense_lineYards,defense_stuffRate,defense_powerSuccess,defense_explosiveness,defense_successRate,defense_totalPPA,defense_ppa,defense_drives,defense_plays
2025,Air Force,Mountain West,2.0684818321034624,0.48366013071895425,87.09022216334986,0.5692171383225482,0.22238372093023256,0.9520131753707589,0.4820415879017013,124.32120513022328,0.2350117299248077,0.7688953488372093,2.1306573559212705,0.31547619047619047,0.395599503874745,0.2441860465116279,1.0352035080967137,0.5346153846153846,0.27912309982072375,0.7558139534883721,0.025,0.064,0.089,1.224,72.0,4.578125,64,563,1.0642722117202268,575,1.0869565217391304,1753,3.3137996219281662,0.11531190926275993,0.796875,1.2106085048782893,0.4811046511627907,211.60472855773352,0.30756501243856615,102,688,1.4993474738086459,0.5513698630136986,160.21959424141568,0.5486972405527935,0.4866666666666667,1.1993057482631009,0.44666666666666666,83.96489874529595,0.2798829958176532,0.5,2.293431314989742,0.42857142857142855,160.21959424141568,0.8055099694956667,0.2683333333333333,1.117304327484837,0.5239179954441914,0.2736271186271576,0.7316666666666667,0.048,0.058,0.107,-1.277,71.8,4.305084745762712,59,0,1.7033333333333334,362,1.2066666666666668,980,3.2656666666666667,0.14333333333333334,0.7380952380952381,1.3887182476782767,0.49833333333333335,249.80941016612454,0.4163490169435409,103,600
2025,Akron,Mid-American,1.5203343860587404,0.3875,67.51596561513713,0.16878991403784285,0.5121638924455826,0.7649461035532331,0.4301369863013699,7.06821631352961,0.019364976201450987,0.4673495518565941,1.891854231811363,0.2857142857142857,0.18097222266986904,0.33162612035851474,0.929427412234791,0.4616858237547893,0.02913962880472449,0.6683738796414853,0.071,0.095,0.166,1.397,70.2,3.3088235294117645,68,291,0.7972602739726027,406,1.1123287671232878,1049,2.8747945205479453,0.1917808219178082,0.6938775510204082,1.1555213317543667,0.4033290653008963,62.082691907562264,0.0794912828521924,142,781,1.6549491282848627,0.3976945244956772,88.69113931052934,0.2555940614136292,0.4832869080779944,1.0508406888596507,0.4305177111716621,43.195814930600655,0.11769976820327153,0.5111420612813371,2.193039439935505,0.27586206896551724,88.69113931052934,0.32693161632748524,0.2827298050139276,1.1316899996114484,0.46601941747572817,0.11779396563812326,0.7172701949860725,0.061,0.113,0.174,-1.459,69.3,3.8923076923076922,65,0,1.6130790190735695,409,1.114441416893733,1088,2.963215258855586,0.21525885558583105,0.5961538461538461,1.3324858396727564,0.41225626740947074,127.03101041811298,0.17692341283859747,139,718
2025,Alabama,SEC,1.639581898130943,0.4959785522788204,171.5523511109829,0.45992587429217935,0.5461200585651538,0.858739170529482,0.39672131147540984,11.810698137847586,0.0387236004519593,0.4465592972181552,2.1701690259751256,0.35960591133004927,0.5230735067205544,0.2972181551976574,1.0678444287214919,0.48541666666666666,0.1530596590590318,0.7027818448023426,0.048,0.081,0.129,1.397,69.9,4.190476190476191,63,195,0.639344262295082,255,0.8360655737704918,851,2.7901639344262295,0.19344262295081968,0.6222222222222222,1.3308172901578161,0.4480234260614934,179.6525582126078,0.26303449225857656,102,683,1.422837637243389,0.3862815884476534,21.607187767022406,0.07800428796758992,0.4694915254237288,1.1204905162088346,0.3901639344262295,33.480391414849514,0.10977177513065414,0.5169491525423728,1.8545970456950769,0.28431372549019607,21.607187767022406,0.17330364764423165,0.34576271186440677,1.0596152974022588,0.43523316062176165,0.015735552596693025,0.6542372881355932,0.059,0.115,0.175,-1.237,72.2,3.4651162790697674,43,0,1.4852459016393442,317,1.039344262295082,851,2.7914754098360657,0.18032786885245902,0.717391304347826,1.2636371620083802,0.38305084745762713,41.42786742174676,0.07021672444363858,107,590
2025,App State,Sun Belt,1.594992716268159,0.3840749414519906,70.27383073203663,0.1645757160000858,0.5963687150837989,0.7870543818411714,0.425,18.396372493945304,0.06570133033551893,0.39106145251396646,1.944921133763539,0.312,0.2888670521617136,0.34916201117318435,0.9953100422768663,0.44420600858369097,-0.006104657314418197,0.6508379888268156,0.098,0.082,0.18,1.211,72.4,3.737704918032787,61,276,0.9857142857142858,298,1.0642857142857143,825,2.947142857142857,0.175,0.7027027027027027,1.2552036041574293,0.39804469273743015,69.37199273190953,0.09688825800546022,118,716,1.5661059436852474,0.4401041666666667,110.5475347564757,0.2878842050949888,0.5260273972602739,0.8863861353954641,0.4391691394658754,24.393795801675417,0.07238515074681133,0.46164383561643835,2.211651742773966,0.32786885245901637,110.5475347564757,0.384657908676613,0.33424657534246577,0.9334912117866063,0.49176954732510286,0.07050267878140368,0.6657534246575343,0.072,0.1,0.172,-1.501,68.6,4.046153846153846,65,0,1.0178041543026706,337,1.0,931,2.7637982195845696,0.19584569732937684,0.72,1.2540330377395492,0.436986301369863,128.12083160485577,0.1755079884998024,119,730
2025,Arizona,Big 12,1.5202128894210474,0.41761363636363635,72.6918442583824,0.20651092118858635,0.5230312035661219,1.0461934735486642,0.4339622641509434,52.82415386056871,0.1661136913854362,0.4725111441307578,2.2489545827940183,0.27,0.3601011002850379,0.2971768202080238,1.0647512852364114,0.4904862579281184,0.11287366110176147,0.7028231797919762,0.056,0.097,0.153,1.636,66.3,3.6153846153846154,65,505,1.5880503144654088,413,1.29874213836478,1034,3.2525157232704403,0.18553459119496854,0.7567567567567568,1.288342117642393,0.424962852897474,125.40946175814075,0.18634392534642014,121,673,1.7067447443256827,0.3074433656957929,31.55975552800274,0.10213513115858491,0.4625748502994012,0.8803608391316188,0.4421965317919075,37.25991057426541,0.107687602815796,0.5179640718562875,2.0519788299717985,0.24663677130044842,31.55975552800274,0.1849920949772062,0.3338323353293413,0.9615817150094302,0.43820224719101125,0.03949801075904125,0.6661676646706587,0.089,0.114,0.203,-1.181,72.4,3.604651162790698,43,0,0.7890173410404624,349,1.0086705202312138,1004,2.9026011560693643,0.1907514450867052,0.6888888888888889,1.2014690803011512,0.37425149700598803,58.82985196769034,0.08806864067019513,119,668
2025,Arizona State,Big 12,1.5328916364286524,0.37362637362637363,65.97065787645555,0.1812380710891636,0.4925575101488498,0.9528577647101638,0.4438356164383562,53.4190201706672,0.14635347991963618,0.4939106901217862,1.9149074619303703,0.2809917355371901,0.28137256950270184,0.3274695534506089,1.0114022305481656,0.46277665995975853,0.07228176711320357,0.6725304465493911,0.071,0.102,0.173,1.324,71.5,3.257575757575758,66,561,1.536986301369863,459,1.2575342465753425,1106,3.0312328767123287,0.18904109589041096,0.6808510638297872,1.217571209521286,0.40324763193504737,104.01620007491601,0.14075263880232208,119,739,1.5023373242152878,0.39710144927536234,63.93427977841858,0.18531675298092343,0.5172413793103449,0.9671983912345752,0.42857142857142855,26.073011620946357,0.08277146546332176,0.47226386806596704,2.099557473586813,0.29245283018867924,63.93427977841858,0.27244049428025724,0.31784107946026985,0.9930340625679899,0.46813186813186813,0.06740493323196858,0.6821589205397302,0.081,0.108,0.19,-1.52,68.4,3.719298245614035,57,0,0.8888888888888888,297,0.9428571428571428,894,2.8384126984126983,0.2,0.6896551724137931,1.242504795234052,0.4122938530734633,88.42662940796023,0.1325736572832987,118,667
2025,Arkansas,SEC,1.6231118924998564,0.47634069400630913,128.31384257438143,0.40477552862580896,0.48619631901840493,1.0791385476824251,0.5227963525835866,93.72480305528018,0.28487782083671787,0.504601226993865,2.295210507588053,0.37566137566137564,0.5376126065316149,0.2898773006134969,1.0570809133478478,0.5464362850971922,0.23837262347451707,0.7101226993865031,0.068,0.095,0.163,1.207,72.5,4.352941176470588,68,835,2.5379939209726445,522,1.5866261398176291,1121,3.405775075987842,0.2006079027355623,0.66,1.3283994355424606,0.49693251533742333,211.9753073031766,0.3251155019987371,111,652,1.6600033254909654,0.44089456869009586,121.68865942741249,0.3887816595125,0.4523121387283237,0.9923849112888451,0.4783783783783784,64.39800528915933,0.17404866294367388,0.5346820809248555,2.063976337216501,0.3632286995515695,121.68865942741249,0.4422825304091965,0.3222543352601156,1.0150578993638535,0.5010660980810234,0.1481282304288685,0.6777456647398844,0.068,0.094,0.162,-1.269,71.6,4.313432835820896,67,0,1.3567567567567569,462,1.2486486486486486,1087,2.937027027027027,0.20810810810810812,0.6862745098039216,1.283926233117222,0.45664739884393063,168.10114435239015,0.24292072883293372,113,692
2025,Arkansas State,Sun Belt,1.4007703720608262,0.4433734939759036,90.92263608938444,0.21909068937201068,0.5439056356487549,0.8268459616686352,0.39823008849557523,-9.179195107835591,-0.027077271704529768,0.4442988204456094,2.005821153602223,0.3173913043478261,0.31167391450147414,0.30144167758846657,0.9055577461977575,0.46904315196998125,-0.007999426969737978,0.6985583224115334,0.071,0.108,0.179,1.377,70.5,3.1911764705882355,68,297,0.8761061946902655,308,0.9085545722713865,868,2.5589970501474926,0.21238938053097345,0.6595744680851063,1.1542240890476831,0.4233289646133683,67.42130576046871,0.08836344136365493,118,763,1.5175865050006823,0.45569620253164556,93.28801786103546,0.2952152463956818,0.4619883040935672,1.0130839737199644,0.4388888888888889,50.69766177205765,0.14082683825571568,0.5263157894736842,2.1728824200195507,0.3284313725490196,93.28801786103546,0.42111824390079505,0.2982456140350877,1.016664085968091,0.49583333333333335,0.10515625430249369,0.7017543859649122,0.051,0.09,0.141,-1.218,72.9,3.9310344827586206,58,0,1.4055555555555557,399,1.1083333333333334,996,2.7669444444444444,0.19444444444444445,0.7105263157894737,1.2706530314810347,0.44590643274853803,136.38312382095916,0.19939053190198708,119,684
2025,Army,American Athletic,2.484374409571202,0.36470588235294116,35.254464203075536,0.4147584023891239,0.13513513513513514,0.9002119841526718,0.4359925788497217,71.51936898862513,0.1326889962683212,0.8569157392686805,1.6691429224439713,0.29411764705882354,0.22961068625831757,0.2702702702702703,0.9656074833685885,0.4749455337690632,0.14715655687450607,0.7297297297297297,0.011,0.072,0.083,1.43,69.3,3.56,50,367,0.6808905380333952,411,0.7625231910946196,1623,3.0116883116883115,0.1261595547309833,0.8148148148148148,1.096864095136384,0.4260731319554849,106.57867626931228,0.16944145670796865,88,629,1.3993034156037505,0.4900398406374502,91.66323659785303,0.36519217768068934,0.46654275092936803,0.8085323994114142,0.4275618374558304,15.586509724296477,0.05507600609292041,0.5260223048327137,1.9896731399521996,0.29333333333333333,91.66323659785303,0.23630774878989166,0.2788104089219331,0.9104764415434426,0.5180412371134021,0.17623620564177372,0.7211895910780669,0.054,0.082,0.136,-1.398,69.9,3.7872340425531914,47,0,0.734982332155477,274,0.9681978798586572,851,3.006713780918728,0.17667844522968199,0.6944444444444444,1.104291358808689,0.45539033457249073,103.82581010749195,0.19298477715147203,83,538
2025,Auburn,SEC,1.1979935654859484,0.403030303030303,35.3002690115338,0.10697051215616302,0.47619047619047616,0.9814979652302055,0.46742209631728043,78.70805289721358,0.22296898837737558,0.5093795093795094,1.7728811555124804,0.25925925925925924,0.12842583627408877,0.3116883116883117,0.9266749471903372,0.5115303983228512,0.16675508966373137,0.6883116883116883,0.051,0.112,0.164,1.143,73.9,4.04,50,452,1.2804532577903682,444,1.2577903682719547,1097,3.1084985835694052,0.1671388101983003,0.8301886792452831,1.0846334394104706,0.4329004329004329,107.28215840480303,0.15480830938644016,111,693,1.5951054192593703,0.44744744744744747,106.35358272334517,0.31938012829833384,0.5083969465648855,0.8996406004024657,0.31329113924050633,-44.82266766918145,-0.14184388502905523,0.48244274809160304,2.031293319711711,0.3090909090909091,106.35358272334517,0.2827872116835738,0.33587786259541985,1.044372855125369,0.4160919540229885,-0.035674183210388406,0.6641221374045801,0.051,0.121,0.173,-1.274,71.2,3.309090909090909,55,0,0.6487341772151899,239,0.7563291139240507,650,2.0572784810126583,0.2848101265822785,0.6571428571428571,1.3138933032854947,0.3801526717557252,46.69491687386728,0.07128994942575156,112,655
