id,start_date,season,season_type,week,neutral_site,home_team,home_conference,home_elo,home_talent,away_team,away_conference,away_talent,away_elo,home_points,away_points,margin,spread,home_adjusted_epa,home_adjusted_epa_allowed,away_adjusted_epa,away_adjusted_epa_allowed,home_adjusted_rushing_epa,home_adjusted_rushing_epa_allowed,away_adjusted_rushing_epa,away_adjusted_rushing_epa_allowed,home_adjusted_passing_epa,home_adjusted_passing_epa_allowed,away_adjusted_passing_epa,away_adjusted_passing_epa_allowed,home_adjusted_success,home_adjusted_success_allowed,away_adjusted_success,away_adjusted_success_allowed,home_adjusted_standard_down_success,home_adjusted_standard_down_success_allowed,away_adjusted_standard_down_success,away_adjusted_standard_down_success_allowed,home_adjusted_passing_down_success,home_adjusted_passing_down_success_allowed,away_adjusted_passing_down_success,away_adjusted_passing_down_success_allowed,home_adjusted_line_yards,home_adjusted_line_yards_allowed,away_adjusted_line_yards,away_adjusted_line_yards_allowed,home_adjusted_second_level_yards,home_adjusted_second_level_yards_allowed,away_adjusted_second_level_yards,away_adjusted_second_level_yards_allowed,home_adjusted_open_field_yards,home_adjusted_open_field_yards_allowed,away_adjusted_open_field_yards,away_adjusted_open_field_yards_allowed,home_adjusted_explosiveness,home_adjusted_explosiveness_allowed,away_adjusted_explosiveness,away_adjusted_explosiveness_allowed,home_adjusted_rush_explosiveness,home_adjusted_rush_explosiveness_allowed,away_adjusted_rush_explosiveness,away_adjusted_rush_explosiveness_allowed,home_adjusted_pass_explosiveness,home_adjusted_pass_explosiveness_allowed,away_adjusted_pass_explosiveness,away_adjusted_pass_explosiveness_allowed,home_total_havoc_offense,home_front_seven_havoc_offense,home_db_havoc_offense,away_total_havoc_offense,away_front_seven_havoc_offense,away_db_havoc_offense,home_total_havoc_defense,home_front_seven_havoc_defense,home_db_havoc_defense,away_total_havoc_defense,away_front_seven_havoc_defense,away_db_havoc_defense,home_points_per_opportunity_offense,away_points_per_opportunity_offense,home_points_per_opportunity_defense,away_points_per_opportunity_defense,home_avg_start_offense,home_avg_start_defense,away_avg_start_offense,away_avg_start_defense
401777352,2025-12-06 00:00:00+00:00,2025,regular,15,False,James Madison,Sun Belt,,,Troy,Sun Belt,,,31.0,14.0,17.0,,0.09859758232823229,-0.11842311478376479,0.11842311478376479,-0.09859758232823229,0.11184447204006218,-0.057032165235304036,0.057032165235304036,-0.11184447204006218,0.13159826274134323,-0.14798126502596165,0.14798126502596165,-0.13159826274134323,0.052192848150794446,-0.09515612049128541,0.09515612049128541,-0.052192848150794446,0.05167305893992169,-0.10447794313441228,0.10447794313441228,-0.05167305893992169,0.033046695330466946,-0.05290537267538592,0.05290537267538592,-0.033046695330466946,0.22348636189012705,-0.6166244923985635,0.6166244923985635,-0.22348636189012705,0.23344218209757983,-0.20986676511058155,0.20986676511058155,-0.23344218209757983,0.14663849404533225,-0.10698392455616335,0.10698392455616335,-0.14663849404533225,-0.002993048745679072,0.0958145493868694,-0.0958145493868694,0.002993048745679072,0.06609843172683516,0.1613710467697823,-0.1613710467697823,-0.06609843172683516,0.008194420983212769,0.0653602945603935,-0.0653602945603935,-0.008194420983212769,0.16599999999999998,0.106,0.06,0.20600000000000002,0.115,0.091,0.20600000000000002,0.115,0.091,0.16599999999999998,0.106,0.06,3.9479166666666665,3.8095238095238093,3.3333333333333335,3.2,66.9,72.0,69.2,71.2
401777325,2025-12-06 00:00:00+00:00,2025,regular,15,False,Jacksonville State,Conference USA,,,Kennesaw State,Conference USA,,,15.0,19.0,4.0,,0.043789788074021424,-0.010132625055877309,0.010132625055877309,-0.043789788074021424,0.10062837830424415,-0.017111250995644187,0.017111250995644187,-0.10062837830424415,-0.056503538732703834,-0.05190781342899309,0.05190781342899309,0.056503538732703834,0.031177241241202636,0.013010145203857404,-0.013010145203857404,-0.031177241241202636,0.011805337519623205,0.02350747703071543,-0.02350747703071543,-0.011805337519623205,0.05943937858831477,-0.01392737697085522,0.01392737697085522,-0.05943937858831477,0.255632121046395,-0.09460427689594342,0.09460427689594342,-0.255632121046395,0.24564761644335054,-0.025242504409171085,0.025242504409171085,-0.24564761644335054,0.20944672317929092,0.551219870664315,-0.551219870664315,-0.20944672317929092,0.0030380812371872956,-0.04584247486990112,0.04584247486990112,-0.0030380812371872956,0.09028186678038086,0.006502997008416056,-0.006502997008416056,-0.09028186678038086,0.0020014536124262072,-0.15038355623032862,0.15038355623032862,-0.0020014536124262072,0.173,0.108,0.065,0.16799999999999998,0.104,0.064,0.16799999999999998,0.104,0.064,0.173,0.108,0.065,3.7976190476190474,3.235955056179775,3.914285714285714,3.5753424657534247,71.5,72.9,70.5,73.4
401777324,2025-12-06 01:00:00+00:00,2025,regular,15,False,Tulane,American Athletic,,,North Texas,American Athletic,,,34.0,21.0,13.0,,0.06596635642893464,-0.23607148759598964,0.23607148759598964,-0.06596635642893464,-0.0548203495180134,-0.1908411892870158,0.1908411892870158,0.0548203495180134,0.22159360290052,-0.27277849101205504,0.27277849101205504,-0.22159360290052,0.03138592750533048,-0.0821137130215071,0.0821137130215071,-0.03138592750533048,0.018404907975460127,-0.08084583354236696,0.08084583354236696,-0.018404907975460127,0.05229553055640013,-0.06399710450118451,0.06399710450118451,-0.05229553055640013,-0.0646997889594072,-0.44491396761133606,0.44491396761133606,0.0646997889594072,0.0252359712118988,-0.25784412955465585,0.25784412955465585,-0.0252359712118988,-0.09255250890931443,-0.6570934547908232,0.6570934547908232,0.09255250890931443,-0.012422824029941548,-0.12205334717382099,0.12205334717382099,0.012422824029941548,-0.08332054890915386,-0.14752973475390796,0.14752973475390796,0.08332054890915386,-0.14243159069215539,-0.12940798289098576,0.12940798289098576,0.14243159069215539,0.137,0.095,0.042,0.16999999999999998,0.103,0.067,0.16999999999999998,0.103,0.067,0.137,0.095,0.042,3.9879518072289155,5.061855670103093,3.5454545454545454,3.985074626865672,64.6,73.1,66.4,71.6
401777326,2025-12-06 01:00:00+00:00,2025,regular,15,False,Boise State,Mountain West,,,UNLV,Mountain West,,,38.0,21.0,17.0,,-0.0412936085455515,-0.21313996903794502,0.21313996903794502,0.0412936085455515,-0.10315823176317693,-0.07035862662184963,0.07035862662184963,0.10315823176317693,0.013720137923371678,-0.33294951771704584,0.33294951771704584,-0.013720137923371678,-0.029223750318964514,-0.11656831784098493,0.11656831784098493,0.029223750318964514,-0.041214289167109786,-0.11105170423476513,0.11105170423476513,0.041214289167109786,0.006533567764958004,-0.09556407447973714,0.09556407447973714,-0.006533567764958004,-0.14367488931056283,-0.2843674374148417,0.2843674374148417,0.14367488931056283,-0.3357843137254901,-0.19005348463587746,0.19005348463587746,0.3357843137254901,-0.3810879190385832,-0.2974549041140464,0.2974549041140464,0.3810879190385832,-0.046764449805126285,0.061233171349090565,-0.061233171349090565,0.046764449805126285,-0.11908277734039552,0.11030028793066937,-0.11030028793066937,0.11908277734039552,0.0678136386510706,0.08887500763601297,-0.08887500763601297,-0.0678136386510706,0.152,0.087,0.065,0.167,0.111,0.056,0.167,0.111,0.056,0.152,0.087,0.065,3.7021276595744683,4.54320987654321,4.136986301369863,3.851851851851852,69.4,71.4,71.7,72.1
401837095,2025-12-06 17:00:00+00:00,2025,regular,15,False,Johns Hopkins University,Centennial,,,Salisbury,New Jersey,,,45.0,13.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401837096,2025-12-06 17:00:00+00:00,2025,regular,15,False,Susquehanna,Landmark Conference,,,Eastern University,Mid Atlantic,,,29.0,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401836218,2025-12-06 17:00:00+00:00,2025,regular,15,False,Mercer,Southern,,,South Dakota,MVFC,,,0.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401833978,2025-12-06 17:00:00+00:00,2025,regular,15,False,Lehigh,Patriot,,,Villanova,CAA,,,7.0,14.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401837035,2025-12-06 17:00:00+00:00,2025,regular,15,False,Kutztown University,Pennsylvania State Athletic,,,Frostburg State,Mountain East,,,51.0,29.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401836850,2025-12-06 17:00:00+00:00,2025,regular,15,False,University of Mount Union,Ohio,,,John Carroll University,Ohio,,,7.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
