id,start_date,season,season_type,week,neutral_site,home_team,home_conference,away_team,away_conference,home_elo,away_elo,home_talent,away_talent,home_points,away_points,margin,spread,game_key,conference_game,home_adjusted_epa,home_adjusted_epa_allowed,away_adjusted_epa,away_adjusted_epa_allowed,home_adjusted_rushing_epa,home_adjusted_rushing_epa_allowed,away_adjusted_rushing_epa,away_adjusted_rushing_epa_allowed,home_adjusted_passing_epa,home_adjusted_passing_epa_allowed,away_adjusted_passing_epa,away_adjusted_passing_epa_allowed,home_adjusted_success,home_adjusted_success_allowed,away_adjusted_success,away_adjusted_success_allowed,home_adjusted_standard_down_success,home_adjusted_standard_down_success_allowed,away_adjusted_standard_down_success,away_adjusted_standard_down_success_allowed,home_adjusted_passing_down_success,home_adjusted_passing_down_success_allowed,away_adjusted_passing_down_success,away_adjusted_passing_down_success_allowed,home_adjusted_line_yards,home_adjusted_line_yards_allowed,away_adjusted_line_yards,away_adjusted_line_yards_allowed,home_adjusted_second_level_yards,home_adjusted_second_level_yards_allowed,away_adjusted_second_level_yards,away_adjusted_second_level_yards_allowed,home_adjusted_open_field_yards,home_adjusted_open_field_yards_allowed,away_adjusted_open_field_yards,away_adjusted_open_field_yards_allowed,home_adjusted_explosiveness,home_adjusted_explosiveness_allowed,away_adjusted_explosiveness,away_adjusted_explosiveness_allowed,home_adjusted_rush_explosiveness,home_adjusted_rush_explosiveness_allowed,away_adjusted_rush_explosiveness,away_adjusted_rush_explosiveness_allowed,home_adjusted_pass_explosiveness,home_adjusted_pass_explosiveness_allowed,away_adjusted_pass_explosiveness,away_adjusted_pass_explosiveness_allowed,home_total_havoc_offense,home_front_seven_havoc_offense,home_db_havoc_offense,away_total_havoc_offense,away_front_seven_havoc_offense,away_db_havoc_offense,home_total_havoc_defense,home_front_seven_havoc_defense,home_db_havoc_defense,away_total_havoc_defense,away_front_seven_havoc_defense,away_db_havoc_defense,home_points_per_opportunity_offense,away_points_per_opportunity_offense,home_points_per_opportunity_defense,away_points_per_opportunity_defense,home_avg_start_offense,home_avg_start_defense,away_avg_start_offense,away_avg_start_defense
401752802,2025-08-29 23:00:00,2025,regular,1,False,Michigan State,B1G,Western Michigan,MAC,1368.0,1345.0,294.71277872704235,566.9856114034477,0,0,0,0.0,2025_1_Michigan_State_Western_Michigan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401754374,2025-08-29 23:00:00,2025,regular,1,False,Wake Forest,ACC,Kennesaw State,CUSA,1397.0,1266.0,669.7002788821317,524.221242729195,0,0,0,0.0,2025_1_Wake_Forest_Kennesaw_State,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401761589,2025-08-29 23:00:00,2025,regular,1,True,Charlotte,AAC,App State,SBC,1254.0,1428.0,564.0924703096177,702.4226560943891,0,0,0,0.0,2025_1_Charlotte_App_State,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401752667,2025-08-30 00:00:00,2025,regular,1,False,Baylor,B12,Auburn,SEC,1604.0,1574.0,531.3425224951544,552.3650075510299,0,0,0,0.0,2025_1_Baylor_Auburn,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401754375,2025-08-30 00:00:00,2025,regular,1,False,Colorado,B12,Georgia Tech,ACC,1634.0,1536.0,277.3365475509898,503.907461816838,0,0,0,0.0,2025_1_Colorado_Georgia_Tech,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401757224,2025-08-30 01:30:00,2025,regular,1,False,Sam Houston,CUSA,UNLV,MWC,1412.0,1619.0,510.94122117217375,464.908787686186,0,0,0,0.0,2025_1_Sam_Houston_UNLV,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401760358,2025-08-30 02:30:00,2025,regular,1,False,San José State,MWC,Central Michigan,MAC,1484.0,1235.0,559.3887786446575,204.94272432198977,0,0,0,0.0,2025_1_San_José_State_Central_Michigan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401752673,2025-08-30 16:00:00,2025,regular,1,False,Southern Miss,SBC,Mississippi State,SEC,1119.0,1412.0,636.5631549252969,590.781482019233,0,0,0,0.0,2025_1_Southern_Miss_Mississippi_State,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401752676,2025-08-30 16:00:00,2025,regular,1,True,Syracuse,ACC,Tennessee,SEC,1499.0,1776.0,485.95597898101295,555.9117987469511,0,0,0,0.0,2025_1_Syracuse_Tennessee,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401752677,2025-08-30 16:00:00,2025,regular,1,False,Ohio State,B1G,Texas,SEC,1974.0,1861.0,885.7313262706854,864.4181911897932,0,0,0,0.0,2025_1_Ohio_State_Texas,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
