id,start_date,season,season_type,week,neutral_site,home_team,home_conference,home_elo,home_talent,away_team,away_conference,away_talent,away_elo,home_points,away_points,margin,spread,home_adjusted_epa,home_adjusted_epa_allowed,away_adjusted_epa,away_adjusted_epa_allowed,home_adjusted_rushing_epa,home_adjusted_rushing_epa_allowed,away_adjusted_rushing_epa,away_adjusted_rushing_epa_allowed,home_adjusted_passing_epa,home_adjusted_passing_epa_allowed,away_adjusted_passing_epa,away_adjusted_passing_epa_allowed,home_adjusted_success,home_adjusted_success_allowed,away_adjusted_success,away_adjusted_success_allowed,home_adjusted_standard_down_success,home_adjusted_standard_down_success_allowed,away_adjusted_standard_down_success,away_adjusted_standard_down_success_allowed,home_adjusted_passing_down_success,home_adjusted_passing_down_success_allowed,away_adjusted_passing_down_success,away_adjusted_passing_down_success_allowed,home_adjusted_line_yards,home_adjusted_line_yards_allowed,away_adjusted_line_yards,away_adjusted_line_yards_allowed,home_adjusted_second_level_yards,home_adjusted_second_level_yards_allowed,away_adjusted_second_level_yards,away_adjusted_second_level_yards_allowed,home_adjusted_open_field_yards,home_adjusted_open_field_yards_allowed,away_adjusted_open_field_yards,away_adjusted_open_field_yards_allowed,home_adjusted_explosiveness,home_adjusted_explosiveness_allowed,away_adjusted_explosiveness,away_adjusted_explosiveness_allowed,home_adjusted_rush_explosiveness,home_adjusted_rush_explosiveness_allowed,away_adjusted_rush_explosiveness,away_adjusted_rush_explosiveness_allowed,home_adjusted_pass_explosiveness,home_adjusted_pass_explosiveness_allowed,away_adjusted_pass_explosiveness,away_adjusted_pass_explosiveness_allowed,home_total_havoc_offense,home_front_seven_havoc_offense,home_db_havoc_offense,away_total_havoc_offense,away_front_seven_havoc_offense,away_db_havoc_offense,home_total_havoc_defense,home_front_seven_havoc_defense,home_db_havoc_defense,away_total_havoc_defense,away_front_seven_havoc_defense,away_db_havoc_defense,home_points_per_opportunity_offense,away_points_per_opportunity_offense,home_points_per_opportunity_defense,away_points_per_opportunity_defense,home_avg_start_offense,home_avg_start_defense,away_avg_start_offense,away_avg_start_defense
400876038,2016-12-17 19:00:00,2016,postseason,1,True,UTSA,Conference USA,1374.0,397.64,New Mexico,Conference USA,387.26,1447.0,20.0,23.0,-3.0,7.5,0.1390894040891702,0.1333838282268928,0.2489256511126962,0.2485189474617774,0.0700847635975844,0.0907785213455562,0.2433843487918231,0.1500335234664092,0.2448703707122642,0.2253382698209794,0.2275425427962641,0.3303704310770383,0.3792195435414969,0.4439895943401707,0.4446885553537564,0.4587792324412424,0.430989843694942,0.4823515143229114,0.4952264628223912,0.4901015568633088,0.3221588659537605,0.3409747077257947,0.3354425362705909,0.3584436416678778,2.754703194774733,3.094696456281198,3.1671752861091376,2.9395113868016187,0.9568731813522178,1.152505778083631,1.2418958202012056,1.1422578945873716,1.3341617950455746,1.3007016135165657,2.099497213815656,1.5994240253577956,1.2290152077758854,1.1793468679602144,1.2455622468278813,1.2659959432098775,0.9158029727183356,0.8934986719237255,1.0780278894262785,1.0224932972975291,1.741429414090509,1.6695371690996876,1.7091440677584744,1.6307726397849178,0.2201438848920863,0.1510791366906475,0.0690647482014388,0.1323529411764706,0.0922459893048128,0.0401069518716577,0.1893004115226337,0.1193415637860082,0.0699588477366255,0.1635581061692969,0.1018651362984218,0.0616929698708751,3.7222222222222223,4.301369863013699,3.1232876712328768,4.291666666666667,68.0,69.4,71.8,70.8
400876039,2016-12-17 20:30:00,2016,postseason,1,True,San Diego State,Mountain West,1666.0,482.31,Houston,Mountain West,572.7,1836.0,34.0,10.0,24.0,3.0,0.1900309271631925,0.0911710766120662,0.1817002681731627,0.0794691768908884,0.1814543585886675,0.0457951982355022,0.0737442342799969,0.0307958287457245,0.2277542464295169,0.159193148233393,0.2949729497874459,0.1730986219154143,0.419934184885406,0.3939918418904483,0.4497039862587826,0.3776542843090474,0.4734979947506396,0.4498785302456946,0.4942064145403525,0.4381178050310743,0.3329296183610944,0.3032902836700805,0.3541540760461157,0.3027431235207944,2.772546571887056,2.665980596177027,2.634115735451029,2.4969832345811755,1.2768001859235163,0.9455891803971188,1.078174024763768,1.036701732174982,2.0769234233278113,1.0051590471302745,1.1115503892210203,1.0973280947473052,1.2376344116015812,1.2138580702406772,1.210871895816265,1.2360254904671442,1.0973975508501574,0.8926121949963164,0.940889018942067,0.9547965822801628,1.6222420937992188,1.661211006305298,1.5739577661276956,1.6403982279774003,0.1435768261964735,0.1095717884130982,0.0340050377833753,0.1657638136511376,0.113759479956663,0.0520043336944745,0.1757425742574257,0.0853960396039604,0.0903465346534653,0.1997455470737913,0.1284987277353689,0.0712468193384223,3.9080459770114944,3.760869565217391,3.262295081967213,3.647887323943662,66.4,73.5,64.6,66.1
400876040,2016-12-17 22:30:00,2016,postseason,1,True,Toledo,Mid-American,1662.0,460.86,App State,Mid-American,333.36,1628.0,28.0,31.0,-3.0,-2.5,0.2922803914823259,0.185973021562707,0.1591792536870533,0.0843739926220339,0.1296672082595873,0.0965482600372347,0.1515172521826362,0.1186217420534034,0.4570787952989401,0.2869103643625069,0.197067195580239,0.0778324300040179,0.473420738063688,0.4216046610396918,0.4283474279047721,0.4064077997316431,0.4895204194155049,0.44783716865363,0.5075072234656421,0.4527905887188376,0.4042872043387265,0.3498990922158125,0.2924396864434502,0.3110426545751499,3.1795230156431606,2.835288453003783,2.991751940387418,3.1006375978779066,1.2337335164380954,1.214740458537,1.2452083808582617,1.0902396910184329,1.3494765415434982,1.617625051931885,1.745222144047468,1.3389026946291742,1.24281549041343,1.2591800325760425,1.193823665277642,1.15445027470726,0.9122349606116104,1.0027087910765566,1.01714708261835,0.9355713166117215,1.7246439404595797,1.6779466430619363,1.5729712904811102,1.5116615428624778,0.1517150395778364,0.0963060686015831,0.0554089709762532,0.1584158415841584,0.1145685997171145,0.0438472418670438,0.1558823529411764,0.0985294117647058,0.0573529411764705,0.187125748502994,0.1107784431137724,0.0763473053892215,4.073170731707317,3.5833333333333335,3.609375,2.8421052631578947,71.3,69.1,69.5,72.6
400876041,2016-12-18 02:00:00,2016,postseason,1,True,Louisiana,Sun Belt,1315.0,421.37,Southern Miss,Sun Belt,441.29,1399.0,21.0,28.0,-7.0,2.0,0.0881572189316775,0.1207293403608771,0.1499158004344679,0.177125784684052,0.0673658569134414,-0.0141596270394582,0.0819490242532388,0.1551620105514734,0.1630302132742501,0.2936224650520395,0.2420326948216989,0.1927211017481559,0.4072745886809539,0.4283616611705745,0.4049800307402869,0.3949923117601981,0.4574534249222714,0.460158395258812,0.4538041573466428,0.447938350171135,0.3291867640676004,0.3364222397246075,0.3374948482624604,0.3047429463697894,2.8698124564382725,2.439119199003517,2.686199205254588,2.6554524172261065,1.0665767211648365,0.9916772290740344,1.079746328946395,1.141598349176828,1.0827274340224402,1.0965327782225738,1.4779260565536814,2.05950920779353,1.1367117539577782,1.1788459849229374,1.226189415456856,1.32578673509845,0.895036181354137,0.90496036182095,0.9404588204599884,1.1187180162332326,1.6321627984017928,1.6020055986913944,1.6718930896873674,1.705727371466938,0.175438596491228,0.1255060728744939,0.0499325236167341,0.1995464852607709,0.1247165532879818,0.0748299319727891,0.1678420310296191,0.1100141043723554,0.0578279266572637,0.2072213500784929,0.1397174254317111,0.0675039246467817,2.9285714285714284,3.6588235294117646,3.1506849315068495,3.774647887323943,71.1,69.6,72.3,66.4
400876042,2016-12-19 19:30:00,2016,postseason,1,True,Tulsa,American Athletic,1650.0,409.17,Central Michigan,American Athletic,391.81,1329.0,55.0,10.0,45.0,-11.0,0.2081610385100488,0.1526470335314743,0.1420838810831264,0.1503148909147755,0.1513990892672549,0.1076465280620976,0.0462182237678022,0.0967283312895054,0.2828330099033521,0.2232218907423859,0.2441136418725047,0.2250784545750442,0.446188141467483,0.4019639462000045,0.400565315577306,0.4289157058434751,0.482136854071893,0.4393223683107048,0.4569353702150991,0.4847497825938167,0.3594127740069938,0.3298044675502117,0.3184422757100972,0.3195739713168925,3.0741642670925664,2.9782461395851807,2.545064944187812,2.8294022894164126,1.1432843741899776,1.1163843956740558,0.9633782699130526,1.0416943355672954,1.593380564569704,1.4994891338168137,1.2423058256040562,1.5633275767559711,1.2186757044934786,1.2455872151269247,1.236152344428138,1.2234476751834094,1.0013431322080095,1.025093916527985,0.8983680261624576,0.9773692134970156,1.6243632527947525,1.667935463662692,1.6649903103188166,1.6035339396069648,0.1304347826086956,0.0734989648033126,0.056935817805383,0.1940700808625337,0.1132075471698113,0.0808625336927223,0.1577752553916004,0.0987514188422247,0.0590238365493757,0.156498673740053,0.0901856763925729,0.0663129973474801,4.204301075268817,3.121212121212121,3.308641975308642,3.987012987012987,70.0,68.2,70.2,68.0
400876043,2016-12-21 00:00:00,2016,postseason,1,True,Western Kentucky,Conference USA,1941.0,401.82,Memphis,Conference USA,451.24,1741.0,51.0,31.0,20.0,-6.5,0.263961794913181,0.1562273528311212,0.2148556577913499,0.1642691688131288,0.1767881591462563,0.0679930428708177,0.1077894839434433,0.1333083200254629,0.3622935622718452,0.2429095679368166,0.3225850472018013,0.2062655590713032,0.4714582873812288,0.4000856492662464,0.4595334741218449,0.4441562222530432,0.5079016243203877,0.4370165081477036,0.5069559216137471,0.4850444657108765,0.3745976712981234,0.3341986254945063,0.3437612065125758,0.3416250666816828,3.000327951979947,2.6232900832436927,2.808460459771569,2.9778914599693307,1.1982581309585345,0.9642654558543976,1.182631877508166,1.1337937100092097,1.759576684324064,1.0848511750234882,1.6042296898302018,1.5185595715835845,1.2477822738501692,1.27303262025013,1.23183392707169,1.1738503506633045,1.0080387462137947,0.9932362873124388,0.9506547218308696,0.9533207175539624,1.6606632019950602,1.6614070126795466,1.649890678196683,1.5122717094347944,0.1505791505791505,0.0797940797940797,0.0707850707850707,0.179951690821256,0.1171497584541062,0.0628019323671497,0.1984829329962073,0.1074589127686472,0.09102402022756,0.1500559910414333,0.0806270996640537,0.0694288913773796,4.198019801980198,3.776595744680851,3.557142857142857,3.4875,65.5,72.6,67.3,72.6
400876044,2016-12-22 02:00:00,2016,postseason,1,True,Wyoming,Mountain West,1379.0,316.18,BYU,Mountain West,529.05,1744.0,21.0,24.0,-3.0,7.5,0.1778561492484487,0.17937672688372,0.1525654989948651,0.095839046924825,0.1085425251423853,0.1147621753740861,0.2014224109664164,0.0097086857951356,0.2778765746695337,0.2636059432429491,0.1197345681319694,0.2236904842746226,0.4270539061148677,0.4302661194067644,0.4434271641132284,0.4197511222514918,0.4708807723445152,0.4837419339990292,0.4726783420654405,0.454676705840005,0.3398541326473698,0.3243714088418598,0.3549427286804998,0.3481263664131298,2.9403311453602896,2.9880993156680415,3.1926247255678817,2.686489484825676,1.1135347194350709,1.1837815947875705,1.1936015995460507,0.93341762442138,1.3719736002260392,1.9437666537049676,1.3277057750333738,1.0202366770415487,1.233608683893712,1.2904336141909116,1.1586816371062016,1.1843077179028103,0.970832652897518,1.022082340918222,1.0070374018931467,0.8868656389023715,1.6807180187704451,1.7237804531328875,1.4933681773435084,1.5781228371644744,0.1616915422885572,0.099502487562189,0.0621890547263681,0.1513157894736842,0.0894736842105263,0.0618421052631578,0.1808917197452229,0.1197452229299363,0.0611464968152866,0.2059259259259259,0.1288888888888889,0.077037037037037,4.232876712328767,3.5,3.8125,3.070175438596491,69.1,70.8,67.7,73.0
400876046,2016-12-23 18:00:00,2016,postseason,1,True,Old Dominion,Conference USA,1407.0,347.2,Eastern Michigan,Conference USA,347.7,1205.0,24.0,20.0,4.0,-4.0,0.1659940807981244,0.2067162085300138,0.1495846440350784,0.2035258960015903,0.1399162109021926,0.1844079268796123,0.0662038664473087,0.1290425350099865,0.2227693223210966,0.227642559427409,0.2542355577526583,0.2835772149252226,0.4081754599172856,0.4734980040719744,0.4368040014648612,0.492540793039841,0.4726416315642614,0.5216030777008119,0.4808924017034612,0.5435325133528184,0.3056845454983574,0.3237603296278263,0.3502467537565855,0.3277495349107086,2.926255919206517,3.147297321814681,2.8077019805018777,3.0924568843974853,1.08727168530288,1.192656165919325,1.0082718633211152,1.0571620856504529,1.6274199369067122,1.265220104191451,1.081068095499797,1.1574285824529142,1.255522872131259,1.2020064488161175,1.1717966740167391,1.1443050863154038,1.0463389157706269,0.9993252526439708,0.8938041358846334,0.9028992654487936,1.598921136703818,1.547735523079905,1.5805141037572137,1.507225778098748,0.1337209302325581,0.0872093023255814,0.0465116279069767,0.1415313225058004,0.0568445475638051,0.0846867749419953,0.2014925373134328,0.1283582089552238,0.0731343283582089,0.1467780429594272,0.0859188544152744,0.0608591885441527,3.946666666666667,3.392857142857143,3.9014084507042255,3.675675675675676,67.2,69.9,71.2,73.2
400876047,2016-12-23 21:30:00,2016,postseason,1,True,Navy,American Athletic,1701.0,342.77,Louisiana Tech,American Athletic,451.38,1651.0,45.0,48.0,-3.0,-1.0,0.2844868406064356,0.2456723293742098,0.3001283452247358,0.2223425582139835,0.2602147805747039,0.134809785570332,0.1587369354649971,0.1454452697999024,0.3120301075243019,0.3669766311085833,0.4297286313165681,0.2940257155127352,0.5201420967574375,0.4672762530762587,0.5076666447435112,0.4893027096792127,0.5536837742785352,0.5006515414518834,0.5433021343306298,0.5208681733947872,0.361330831827679,0.3647827593761825,0.386971300799944,0.3623853329549114,3.385500926582528,3.0941390044816446,2.9568568618139763,2.957969098988188,1.2610262206907663,1.1136672990561476,1.175896616421206,1.1662289414828173,1.6477312829291846,1.326997823183401,1.7002092881898978,1.0224065254625074,1.163314574611685,1.2310478069465407,1.237983913923349,1.1876328865148424,0.9877412185898884,0.9716567370215116,0.984319584215758,0.9311876777792514,1.694315675649178,1.6562544536045307,1.5717535966906333,1.559292953817695,0.110546378653113,0.085133418043202,0.025412960609911,0.1461916461916461,0.0737100737100737,0.0724815724815724,0.1355311355311355,0.0781440781440781,0.0573870573870573,0.1629464285714285,0.1049107142857142,0.0580357142857142,4.5,4.455555555555556,4.311688311688312,4.6976744186046515,68.2,70.2,70.2,71.2
400876048,2016-12-24 01:00:00,2016,postseason,1,True,Troy,Sun Belt,1452.0,390.47,Ohio,Sun Belt,372.56,1431.0,28.0,23.0,5.0,-5.0,0.0858224425553254,0.1547693304709078,0.0866936184470287,0.1084373520333624,0.0287219879925354,0.0959433915316449,0.0362690424665464,0.0300767197136479,0.1931393898722073,0.2189482438699709,0.1953538772044954,0.2184051140114607,0.4086851407160805,0.397348900324385,0.3789697511767648,0.4212649068815727,0.4703435174676648,0.4397662598675537,0.4387242624232548,0.4716641820482368,0.3063711458266826,0.317598414600048,0.3176719646830797,0.3195297819426926,2.6284197308178343,2.639674761178921,2.5613214970586906,2.5734571255676233,0.9562407414302488,1.0897911797769309,1.0138278594902044,0.9810804313665612,1.2201692836695663,1.385393329167922,1.368852574802716,1.005016304866042,1.1344468992146632,1.2909757731725031,1.1999329011480016,1.1572401449801133,0.9294531122900196,0.9878289711460296,0.9845754218669714,0.8948940628057226,1.4812769854732333,1.715194796686309,1.629027699083169,1.563559194575301,0.1569767441860465,0.1046511627906976,0.0523255813953488,0.1655052264808362,0.1085946573751451,0.056910569105691,0.218236173393124,0.1255605381165919,0.0926756352765321,0.1936416184971098,0.1312138728323699,0.0624277456647398,3.8666666666666663,2.8617021276595747,3.0327868852459017,2.975,65.3,73.7,69.5,71.9
